Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Molecular weight (g mol-1)
1,N#Cc1cc2ccc(O)cc2oc1=O,O,355.0,410.0,2.804262479,63.1 %,4.588727609737754,187.1537
2,N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0,450.0,3.961965135,0.2 %,3.4700454123822126,186.14576
3,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526.0,535.0,3.602954423,37.3 %,5.73223272135517,1061.54348
4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514.0,553.72,3.81,69.2 %,1.6128920685535526,350.42028
5,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0,555.0,4.7,99.0 %,3.435540880578591,350.42028
6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0,395.0,2.8,67.3 %,2.331174969358311,231.29398
7,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0,416.0,3.1,57.0 %,3.360432557024483,231.29398
8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0,430.0,3.4,5.0 %,3.822169615715285,231.29398
9,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,373.0,451.0,3.1,85.9 %,4.740908122721673,231.29398
10,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384.0,463.0,3.8,87.3 %,3.787836809744628,231.29398
11,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376.0,433.0,4.1,75.9 %,4.407952063039985,285.26416
12,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392.0,479.0,4.6,19.2 %,3.864234239939194,285.26416
13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396.0,501.0,0.6,82.7 %,5.477981188444449,285.26416
14,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400.0,509.0,0.85,42.3 %,2.7760261603600505,285.26416
15,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413.0,524.0,2.7,31.0 %,6.042155803899613,285.26416
