Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Molecular weight (g mol-1)
1,5882,1018,355.0,410.0,2.804262479,63.1,4.588727609737754,187.1537
2,5883,1018,408.0,450.0,3.961965135,63.1,3.4700454123822126,186.14576
4,6786,70,514.0,553.72,3.81,63.1,1.6128920685535526,350.42028
5,6786,715,524.0,555.0,4.7,63.1,3.435540880578591,350.42028
6,3330,48,350.0,395.0,2.8,63.1,2.331174969358311,231.29398
7,3330,529,361.0,416.0,3.1,63.1,3.360432557024483,231.29398
8,3330,70,367.0,430.0,3.4,63.1,3.822169615715285,231.29398
9,3330,517,373.0,451.0,3.1,63.1,4.740908122721673,231.29398
10,3330,1142,384.0,463.0,3.8,63.1,3.787836809744628,231.29398
11,3329,48,376.0,433.0,4.1,63.1,4.407952063039985,285.26416
12,3329,529,392.0,479.0,4.6,63.1,3.864234239939194,285.26416
13,3329,70,396.0,501.0,0.6,63.1,5.477981188444449,285.26416
14,3329,517,400.0,509.0,0.85,63.1,2.7760261603600505,285.26416
15,3329,1142,413.0,524.0,2.7,63.1,6.042155803899613,285.26416
16,1769,48,361.0,407.0,2.6,63.1,4.712322622977583,255.31598
17,1769,70,380.0,450.0,3.3,63.1,4.222531507086288,255.31598
18,1769,517,387.0,473.0,4.5,63.1,2.812134022970289,255.31598
19,1769,1018,396.0,489.0,5.9,63.1,2.727350231096937,255.31598
20,6394,48,393.0,455.0,4.3,63.1,5.38011307401326,309.28616
21,6394,529,409.0,501.0,5.4,63.1,6.220664282236177,309.28616
22,6394,70,418.0,521.0,5.6,63.1,1.5521589011010717,309.28616
23,6394,517,421.0,531.0,3.4,63.1,1.1485170451915714,309.28616
24,6394,1142,434.0,546.0,3.5,63.1,5.255140199613734,309.28616
25,4284,48,382.0,439.0,4.2,63.1,1.610128967482769,283.24828
26,4284,70,405.0,510.0,5.6,63.1,4.248302458301245,283.24828
27,4284,517,408.0,515.0,5.1,63.1,6.732597917119715,283.24828
28,6058,70,365.0,465.0,5.2,63.1,4.292395901495803,229.15664
29,3377,70,454.0,501.0,3.2,63.1,6.384014952108883,350.44092
30,3376,70,403.0,480.0,2.8,63.1,3.1735502743942017,347.41674
31,3517,70,354.0,420.0,3.5,63.1,4.814641192299749,217.2671
32,3516,70,383.0,481.0,7.7,63.1,3.5137008788513096,271.23728
33,3518,610,530.0,555.0,3.7,63.1,4.0382569960050425,443.56514
35,6240,1018,479.0985116167688,248.34525362725967,4.16,63.1,5.738456230621248,330.2944
36,3326,1176,484.5785478765376,678.9540863724827,1.84,63.1,4.984528829972232,442.5572
38,3518,1176,444.9181225475914,429.6706569306681,4.36,63.1,3.858652329363998,443.56514
45,3351,517,291.06391209186575,342.5887260234633,2.45,63.1,1.4611361208830436,445.58102
50,6240,201,410.2833595582164,728.2190314277277,4.36,63.1,2.536220148545984,330.2944
53,3351,466,415.6296115905136,292.07919001886984,2.79,63.1,2.056012213367614,445.58102
54,3518,466,604.1991399334543,779.3750588339169,3.95,63.1,2.402102776727661,443.56514
61,6241,439,342.3452232928829,553.347586913344,4.3,63.1,1.2690180578018213,490.6012
63,3351,395,408.5146634421103,303.7176580265177,3.09,63.1,3.603585493770313,445.58102
72,6238,1018,515.0,538.0,1.425,63.1,5.822615333308266,645.87864
73,6239,1018,521.0,534.0,0.115,63.1,5.235060882824965,833.86264
74,6230,1018,548.0,566.0,0.095,63.1,4.453801493293459,971.64288
75,6238,610,522.0,542.0,3.28,63.1,6.661058385958158,645.87864
76,6239,610,526.0,545.0,0.5,63.1,6.216799556112161,833.86264
77,6230,610,556.0,571.0,0.655,63.1,2.396808801722435,971.64288
78,6238,517,527.0,550.0,3.62,63.1,6.68120191458119,645.87864
79,6239,517,532.0,551.0,0.565,63.1,2.292703519098753,833.86264
80,6230,517,558.0,573.0,0.82,63.1,2.049150348112015,971.64288
81,6238,201,529.0,551.0,3.715,63.1,3.809448652378831,645.87864
82,6239,201,532.0,557.0,0.66,63.1,3.223035335233357,833.86264
83,6230,201,561.0,576.0,1.015,63.1,6.476213015585306,971.64288
84,2356,48,342.0,401.0,1.6,63.1,3.713646193281447,227.30598
85,2356,1321,355.0,421.0,3.3,63.1,5.659191408254246,227.30598
