,Material,"Diameter, (nm)",Zeta potential (mV),"Concentration, (g/L)",Viability (%),"Time, (h)","Molecular weight, (g/mol)",Average electronegativity,Elements,"Average ionic radius, Å"
0,TiO2,420.7,-9.96,1.6083618887379608e-11,119.31976,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
1,Fe3O4,957.0,49.25722173011928,7.994032100825751e-13,100.0,12.0,231.5326,2.75,Fe,0.8525
2,Au,6.3,24.4,0.0006,100.0,24.0,196.966569,2.54,Au, 
3,Fe3O4,957.0,49.25722173011928,1.59880642016515e-15,98.1579741,24.0,231.5326,2.75,Fe,0.8525
4,Ag,28.41,-33.33,7.110908360087976e-08,43.45515,48.0,107.8682,1.93,Ag,1.086666666666667
5,SiO2,19.4,-35.9,0.008,101.67,24.0, ,2.9266666666666663,Si, 
6,Al2O3,13.0,8.667160493827168,0.75,85.475,48.0,101.9612772, ,Al,0.675
7,SiO2,12.0,-35.9,0.4,24.89,24.0, ,2.9266666666666663,Si, 
8,SiO2,21.06,-35.9,0.05,61.071,24.0, ,2.9266666666666663,Si, 
9,Cu2O,88.5,118.7302016664654,1.091147106858293e-09,54.658386,24.0,143.0914,2.4133333333333336,Cu,0.82
10,ZnO,20.0,-26.0,0.08,24.89,24.0,81.4084,2.545,Zn,0.88
11,SiO2,59.72,-35.9,0.05,32.2,72.0, ,2.9266666666666663,Si, 
12,Fe3O4,361.4,12.1,1.855441514797428e-11,55.113636,168.0,231.5326,2.75,Fe,0.8525
13,C56H103N9O39,155.0,28.8,1.733317715418069e-06,93.211006,4.0,1526.45392,2.564830917874396,C,0.3
14,ZnO,67.0,44.1,7.65072847916516e-08,10.097847,48.0,81.4084,2.545,Zn,0.88
15,C56H103N9O39,260.0,47.0,2.754320596624287e-07,81.52838,24.0,1526.45392,2.564830917874396,C,0.3
16,ZrO2,10.0,-45.5,0.2,43.6,24.0, ,2.736666666666667,Zr, 
17,Au,6.3,24.4,0.0006,101.36,24.0,196.966569,2.54,Au, 
18,Pt,13.5,-40.5,2.93078455103354e-07,64.84472,48.0, , ,Pt,0.805
19,Au,25.0,24.4,0.0075,21.716,4.0,196.966569,2.54,Au, 
20,Au,33.69,24.4,0.04,116.24,96.0,196.966569,2.54,Au, 
21,ZnO,112.0,-26.0,1.310276996161598e-09,100.0,24.0,81.4084,2.545,Zn,0.88
22,MgO,639.0,-7.01,1.368414584861392e-15,98.8764,12.0,40.3044,2.375,Mg, 
23,Fe3O4,145.8,17.7,1.4128925872589388e-10,68.484,168.0,231.5326,2.75,Fe,0.8525
24,Fe3O4,196.4,49.25722173011928,1.849725341605939e-10,99.48388338,24.0,231.5326,2.75,Fe,0.8525
25,ZnO,100.0, ,0.08,-3.5573,24.0, , , , 
26,Fe3O4,361.4,12.1,3.710883029594856e-11,100.39683,72.0,231.5326,2.75,Fe,0.8525
27,Au,6.3,24.4,0.0025,88.834,24.0,196.966569,2.54,Au, 
28,TiO2,100.0,-17.6,2.993927768629509e-09,68.0,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
29,NiO,22.0,25.3,0.001,98.588,24.0,74.69279999999999, ,Ni,0.74
30,SiO2,437.0,21.7,1.077039594265044e-10,106.95652,12.0, ,2.9266666666666663,Si, 
31,Al2O3,28.0,8.667160493827168,9.322983618222381e-08,99.565216,24.0,101.9612772, ,Al,0.675
32,Cu2O,88.5,118.7302016664654,1.091147106858293e-07,79.15344,11.0,143.0914,2.4133333333333336,Cu,0.82
33,TiO2,25.0,-17.6,0.02,112.79,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
34,TiO2,25.0,-17.6,0.15,127.62,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
35,ZnO,52.0,-26.0,0.025,60.133,24.0,81.4084,2.545,Zn,0.88
36,CuO,52.51,-39.67,2.761280278419176e-09,74.58716,24.0,79.5454,2.67,Cu,0.82
37,MgO,12.0,-7.01,0.2,53.07,24.0,40.3044,2.375,Mg, 
38,C56H103N9O39,40.0,34.6,0.015,51.806,24.0,1526.45392,2.564830917874396,C,0.3
39,CdO,179.3,88.18023735375812,8.668671717265826e-11,13.747017,24.0, ,2.565,Cd,1.09
40,Au,50.0,24.4,0.005,102.03,72.0,196.966569,2.54,Au, 
41,TiO2,100.0,-17.6,5.987855537259018e-09,62.0,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
42,ZnO,60.0,-26.0,2.610076158696639e-07,78.81142,4.0,81.4084,2.545,Zn,0.88
