index,Diameter (nm),Cell_type,Concentration (g/L),Viability (%),Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Test,Test_indicator,Molecular weight (g/mol),Electronegativity,Elements,Ionic radius
36,28.41,47,3.555454180043988e-07,32.083332,0,0,5,2,0,34,24,3,9,107.8682,1.93,0,1.086666666666667
433,50.0,53,0.02,88.986,0,0,9,7,1,1,24,16,7,107.8682,1.93,0,1.086666666666667
2849,10.9,91,0.15,81.743,26,0,5,2,1,4,3,19,5,231.5326,2.75,11,0.8525
2954,28.33,110,0.01,85.385,0,1,9,3,1,21,6,17,7,231.5326,2.75,11,0.8525
4613,639.0,30,3.527642890429357e-12,64.044945,0,1,5,0,0,38,12,17,20,81.4084,2.545,20,0.88
4393,20.0,20,0.025,89.619,0,0,4,2,1,18,24,19,5,79.8658,2.806666666666667,19,0.8516666666666667
2639,145.8,90,1.412892587258939e-10,27.670767,32,0,5,2,0,31,168,15,22,231.5326,2.75,11,0.8525
3415,24.6,35,0.02,95.0,0,0,5,2,3,15,24,16,7,195.084,2.28,16,0.805
1664,40.0,55,0.01,50.258,0,0,5,6,1,4,36,17,7,1526.45392,2.564830917874396,4,0.3
945,270.0,88,0.01,86.005,8,0,9,11,1,1,48,15,1,196.966569,2.54,2,1.07
4686,8.0,18,0.407042,47.67442,0,1,5,6,0,29,24,15,17,81.4084,2.545,20,0.88
2729,12.0,26,8.109385734227162e-05,108.20964,3,0,12,2,0,43,6,3,9,231.5326,2.75,11,0.8525
260,28.41,47,8.533090032105572e-08,2.0833333,0,0,5,2,0,34,72,3,9,107.8682,1.93,0,1.086666666666667
20,28.41,45,2.84436334403519e-07,5.9800663,0,0,5,5,0,45,72,17,20,107.8682,1.93,0,1.086666666666667
415,90.0,22,0.05,66.41,0,0,5,2,1,8,24,7,7,107.8682,1.93,0,1.086666666666667
1840,78.0,48,1.678456493212661e-07,67.68671,0,0,5,2,0,40,72,17,20,502.311426,2.658636363636364,5,1.14
2352,120.0,102,3.243754293690864e-07,27.46988,27,0,8,2,0,39,24,17,20,231.5326,2.75,11,0.8525
927,13.0,10,0.000281,91.537,8,0,9,3,3,11,24,23,7,196.966569,2.54,2,1.07
1069,21.0,21,3.840352009390952e-07,86.49573,8,0,5,2,0,42,48,18,21,196.966569,2.54,2,1.07
1303,18.0,70,0.0006,90.645,0,0,5,3,1,3,24,19,5,196.966569,2.54,2,1.07
802,239.0,30,5.99646500648642e-13,94.38202,0,1,5,0,0,38,24,17,20,101.9612772,2.708,1,0.675
2068,88.5,85,3.332205484473575e-10,93.1217,0,0,5,7,0,29,6,18,21,143.0914,2.413333333333334,10,0.82
4053,38.0,29,2.182481242622473e-08,91.63636,0,1,5,0,0,26,24,13,15,79.8658,2.806666666666667,19,0.8516666666666667
197,7.5,48,3.865048899123536e-07,8.664321,0,0,5,2,0,40,28,17,20,107.8682,1.93,0,1.086666666666667
515,100.0,23,0.05,55.13,0,1,5,3,3,11,24,7,7,107.8682,1.93,0,1.086666666666667
995,6.5,82,0.0015,99.319,12,1,5,6,1,2,24,17,7,196.966569,2.54,2,1.07
3858,280.0,88,0.1,25.926,0,0,6,11,1,1,48,15,6,60.0843,2.926666666666666,18,0.54
4802,75.0,62,0.5,74.757,0,1,5,6,1,2,3,17,7,81.4084,2.545,20,0.88
2947,28.33,108,0.01,48.87,0,1,5,3,1,23,48,17,7,231.5326,2.75,11,0.8525
1367,215.0,105,0.0025,44.329,0,0,5,13,4,3,24,17,7,196.966569,2.54,2,1.07
599,29.57,47,0.02,45.062,0,0,5,2,1,7,72,19,5,107.8682,1.93,0,1.086666666666667
2923,10.0,91,0.005,94.554,36,0,5,2,1,4,6,17,7,231.5326,2.75,11,0.8525
9,28.41,45,1.422181672017595e-06,9.1694355,0,0,5,5,0,45,72,17,20,107.8682,1.93,0,1.086666666666667
1685,30.29,15,0.08,67.308,16,0,12,3,1,5,24,19,5,720.642,2.55,4,0.3
3993,10.0,88,0.01,86.268,0,0,9,11,1,1,24,15,6,60.0843,2.926666666666666,18,0.54
4263,47.83,60,1.306512447327671e-09,100.0,0,0,10,2,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
4783,20.0,48,0.08,24.89,0,0,5,2,1,16,24,17,7,81.4084,2.545,20,0.88
2376,36.0,6,3.003476197861912e-08,86.00683,0,0,5,2,0,41,24,18,21,231.5326,2.75,11,0.8525
3090,10.9,91,0.05,99.633,26,0,5,2,1,4,6,19,5,231.5326,2.75,11,0.8525
1915,4.7,111,0.02187,74.933,0,0,9,12,1,5,24,17,7,172.1148,2.666666666666667,7,1.08
990,65.0,16,0.002,83.111,0,1,5,3,4,21,96,16,7,196.966569,2.54,2,1.07
1854,26.0,57,4.531832531674185e-06,96.61489,0,0,5,2,2,40,48,17,20,502.311426,2.658636363636364,5,1.14
1604,265.0,6,3.468451678904042e-07,86.60551,0,0,5,2,0,41,4,17,20,1526.45392,2.564830917874396,4,0.3
2773,12.0,98,0.000324375429369,98.01674,3,0,9,2,0,33,6,3,9,231.5326,2.75,11,0.8525
639,50.0,32,0.1,32.648,11,0,5,3,1,21,72,16,7,107.8682,1.93,0,1.086666666666667
1334,6.3,0,0.0003,94.541,0,0,5,9,1,3,24,17,7,196.966569,2.54,2,1.07
1683,30.29,15,0.005,97.922,16,0,12,3,1,5,24,15,1,720.642,2.55,4,0.3
3091,10.9,91,0.075,101.56,26,0,5,2,1,4,6,19,5,231.5326,2.75,11,0.8525
63,28.41,47,1.422181672017595e-07,27.81457,0,0,5,2,0,34,72,18,21,107.8682,1.93,0,1.086666666666667
1458,30.0,47,1.044902e-05,63.967613,52,0,5,2,0,34,24,17,20,208.9804,2.02,3,1.035
4241,420.7,7,6.433447554951843e-11,120.27379,0,0,5,2,0,46,3,16,20,79.8658,2.806666666666667,19,0.8516666666666667
4144,25.0,6,0.01,95.161,0,0,5,2,1,17,6,17,7,79.8658,2.806666666666667,19,0.8516666666666667
3935,18.3,92,0.001,96.277,0,0,11,3,1,10,24,17,7,60.0843,2.926666666666666,18,0.54
4573,60.0,90,0.000814084,98.67841,0,0,5,2,0,31,48,15,12,81.4084,2.545,20,0.88
1606,240.0,52,3.501876360407153e-07,95.44396,0,0,9,7,0,29,24,17,20,1526.45392,2.564830917874396,4,0.3
3405,13.5,65,2.93078455103354e-07,79.00621,19,0,5,2,0,33,24,10,16,195.084,2.28,16,0.805
1747,15.0,48,1.864117825268061e-08,124.53898,0,0,5,2,0,40,24,18,21,104.14912,2.375,4,0.3
242,28.41,47,2.133272508026393e-07,39.166668,0,0,5,2,0,34,24,3,9,107.8682,1.93,0,1.086666666666667
1084,35.0,6,7.541054854804054e-12,93.68421,8,0,5,2,0,41,48,6,14,196.966569,2.54,2,1.07
4738,173.48,8,0.0025,96.998,0,0,9,7,1,4,24,7,7,81.4084,2.545,20,0.88
503,47.0,16,0.0004,96.659,0,1,5,3,4,21,96,16,7,107.8682,1.93,0,1.086666666666667
2963,8.0,47,0.002,87.74,7,0,5,2,1,7,24,17,7,231.5326,2.75,11,0.8525
1011,33.69,16,0.4,85.507,0,0,5,3,4,21,96,16,7,196.966569,2.54,2,1.07
3510,4.0,50,0.4,50.0,33,0,5,3,1,17,24,12,4,195.084,2.28,16,0.805
2143,33.0,28,0.0007954539999999,38.425575,0,0,5,2,0,32,48,16,20,79.5454,2.67,10,0.82
4898,141.0,92,0.1,61.622,0,0,11,3,1,10,6,17,7,81.4084,2.545,20,0.88
2273,22.83,48,0.005,66.202,0,0,5,2,1,16,24,19,5,79.5454,2.67,10,0.82
4573,60.0,90,0.000814084,98.67841,0,0,5,2,0,31,48,15,12,81.4084,2.545,20,0.88
2722,12.0,65,0.000324375429369,100.06985,3,0,5,2,0,33,6,3,9,231.5326,2.75,11,0.8525
3195,639.0,30,1.368414584861392e-14,98.8764,0,1,5,0,0,38,12,17,20,40.3044,2.375,12,0.86
4064,60.0,99,0.01,61.197,0,0,5,10,1,2,24,17,7,79.8658,2.806666666666667,19,0.8516666666666667
4864,141.0,92,0.025,87.52,0,0,11,3,1,10,3,17,7,81.4084,2.545,20,0.88
4852,100.0,91,0.025,75.109,0,0,5,2,1,4,24,19,5,81.4084,2.545,20,0.88
3860,280.0,88,0.005,100.28,0,0,9,11,1,1,48,15,6,60.0843,2.926666666666666,18,0.54
4602,19.0,87,3.091649709927492e-07,52.12703,0,0,9,11,0,29,24,14,15,81.4084,2.545,20,0.88
1765,10.0,83,2.846977633953132e-06,99.70588,44,0,12,4,0,25,24,4,9,261.2319,2.597272727272728,4,0.3
4392,30.6,104,0.000625,90.4,0,0,5,2,3,0,24,17,7,79.8658,2.806666666666667,19,0.8516666666666667
2819,10.0,94,0.003125,70.872,32,0,5,2,1,18,48,16,7,231.5326,2.75,11,0.8525
4513,165.0,5,8.195875402680562e-13,98.22968,0,0,5,2,0,45,6,18,21,81.4084,2.545,20,0.88
1042,42.9,68,0.013,1.3393,6,0,3,2,1,15,24,16,7,196.966569,2.54,2,1.07
2021,30.0,87,8.634155399995487e-21,75.521,0,0,9,11,0,29,24,15,12,51.9961,1.66,9,0.94
1234,40.0,95,1.515575282342455e-08,98.0,30,0,9,0,0,28,72,2,16,196.966569,2.54,2,1.07
4924,52.0,6,0.025,60.133,0,0,5,2,1,17,24,17,7,81.4084,2.545,20,0.88
3224,24.0,40,3.030528457142044e-08,50.117645,0,0,0,0,0,45,24,2,16,70.937445,2.495,13,0.6483333333333333
3184,12.0,2,0.8,32.17,0,0,9,3,3,11,24,17,7,40.3044,2.375,12,0.86
390,14.3,99,0.000625,82.85,0,0,5,10,1,2,48,5,0,107.8682,1.93,0,1.086666666666667
1936,12.5,43,0.2,89.065,0,0,5,2,1,8,24,17,7,172.1148,2.666666666666667,7,1.08
4816,94.5,58,0.05,29.487,0,0,5,2,3,17,24,17,7,81.4084,2.545,20,0.88
1191,27.17,6,0.1378765983,79.643654,9,0,5,2,0,41,48,17,20,196.966569,2.54,2,1.07
587,20.0,22,0.025,5.5263,4,0,5,2,1,8,30,11,0,107.8682,1.93,0,1.086666666666667
4163,25.0,7,0.04,103.32,0,0,5,2,1,22,6,16,7,79.8658,2.806666666666667,19,0.8516666666666667
2471,30.0,73,2.076002747962153e-06,94.054054,16,0,5,10,0,29,216,18,21,231.5326,2.75,11,0.8525
2703,12.0,47,0.0006487508587381,60.540848,3,0,5,2,0,34,6,3,9,231.5326,2.75,11,0.8525
2055,88.5,85,1.091147106858293e-10,95.2381,0,0,5,7,0,29,3,17,20,143.0914,2.413333333333334,10,0.82
2612,957.0,30,7.994032100825751e-13,87.905336,0,1,5,0,0,38,12,14,15,231.5326,2.75,11,0.8525
2399,145.8,90,2.825785174517878e-10,49.74576,32,0,5,2,0,31,72,14,15,231.5326,2.75,11,0.8525
3707,437.0,83,4.308158377060175e-10,103.85965,25,0,12,4,0,25,24,17,20,60.0843,2.926666666666666,18,0.54
2320,361.4,87,3.710883029594856e-11,108.333336,28,0,9,11,0,29,72,9,9,231.5326,2.75,11,0.8525
1098,28.18,74,0.0098483284499999,100.75724,9,0,5,2,0,41,72,17,20,196.966569,2.54,2,1.07
2968,10.0,91,0.025,102.54,36,0,5,2,1,4,3,19,5,231.5326,2.75,11,0.8525
2859,10.0,88,0.003125,100.86,27,0,9,11,1,1,48,16,7,231.5326,2.75,11,0.8525
1607,188.0,6,4.683961043817836e-06,50.0,0,0,5,2,0,41,4,18,21,1526.45392,2.564830917874396,4,0.3
951,61.06,16,0.015,100.7,8,1,5,3,4,21,96,16,7,196.966569,2.54,2,1.07
1516,98.4,6,1.827421144459484e-06,83.60656,0,0,5,2,0,41,24,18,21,632.5663,2.586144578313253,4,0.3
1498,20.0,70,1.044902e-07,98.83041,0,0,5,3,0,30,24,15,12,208.9804,2.02,3,1.035
358,20.0,61,4.080308473352364e-08,85.67742,0,0,5,2,0,35,24,9,9,107.8682,1.93,0,1.086666666666667
1211,21.7,44,9.84832845e-06,94.153275,27,1,5,0,2,48,24,17,20,196.966569,2.54,2,1.07
4444,21.0,7,0.04,132.0,0,0,5,2,1,22,6,16,7,79.8658,2.806666666666667,19,0.8516666666666667
2790,18.4,94,1.124729878072519e-07,94.44444,27,0,5,2,0,42,48,17,20,231.5326,2.75,11,0.8525
4518,60.0,28,0.00814084,46.814537,0,0,5,2,0,32,48,16,20,81.4084,2.545,20,0.88
1369,1.5,103,0.0001,62.477,24,0,5,14,3,11,24,17,7,196.966569,2.54,2,1.07
2764,30.0,73,2.076002747962153e-06,93.59074,16,0,5,10,0,29,168,18,21,231.5326,2.75,11,0.8525
1342,6.0,6,0.05,78.221,0,0,5,2,1,17,24,17,7,196.966569,2.54,2,1.07
2296,4.0,14,0.02,100.85,0,0,5,2,1,16,24,17,7,12.0107,2.55,4,0.3
878,30.0,75,0.025,6.599,0,0,5,3,1,21,24,17,7,196.966569,2.54,2,1.07
3837,19.4,1,0.032,103.64,0,1,5,2,1,20,24,7,7,60.0843,2.926666666666666,18,0.54
501,20.0,59,0.5,2.4014,0,0,9,3,1,9,72,7,7,107.8682,1.93,0,1.086666666666667
699,20.0,10,0.00067,93.388,33,0,9,3,3,11,48,19,5,107.8682,1.93,0,1.086666666666667
4746,40.44,8,0.005,90.619,0,0,9,7,1,4,24,7,7,81.4084,2.545,20,0.88
3326,4.0,47,0.1,77.962,33,0,5,2,1,7,72,12,4,195.084,2.28,16,0.805
3071,10.0,91,0.005,108.52,36,0,5,2,1,4,24,19,5,231.5326,2.75,11,0.8525
4264,47.83,51,3.344671865158838e-07,89.686099,0,0,5,14,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
2260,28.2,6,0.04,7.1739,0,0,5,2,1,17,48,11,0,79.5454,2.67,10,0.82
3492,4.0,47,0.05,91.469,33,0,5,2,1,7,48,12,4,195.084,2.28,16,0.805
2606,957.0,30,7.994032100825752e-12,92.134834,0,1,5,0,0,38,24,17,20,231.5326,2.75,11,0.8525
550,100.0,59,0.05,96.522,0,0,9,3,1,9,24,7,7,107.8682,1.93,0,1.086666666666667
3542,79.6,84,6.194628195007024e-10,44.062363,0,0,5,2,0,44,24,25,20,78.96,2.55,17,1.013333333333333
2560,957.0,30,1.59880642016515e-11,95.505615,0,1,5,0,0,38,12,17,20,231.5326,2.75,11,0.8525
2424,145.8,90,1.412892587258939e-10,88.389831,32,0,5,2,0,31,1,14,15,231.5326,2.75,11,0.8525
1162,50.0,75,0.001,96.701,0,0,5,3,1,21,72,17,7,196.966569,2.54,2,1.07
1448,30.0,47,1.044902e-05,32.644173,52,0,5,2,0,34,96,15,12,208.9804,2.02,3,1.035
1866,170.0,41,2.026549169975206e-08,76.31799,0,1,5,11,0,29,24,17,20,502.311426,2.658636363636364,5,1.14
2373,361.4,90,4.631182020934381e-12,103.43855,28,0,5,2,0,31,72,9,9,231.5326,2.75,11,0.8525
4346,50.0,87,3.592713322355411e-09,21.148672,0,0,9,11,0,29,24,14,15,79.8658,2.806666666666667,19,0.8516666666666667
1716,34.64,110,0.001,76.377,0,1,9,3,1,21,48,17,7,720.642,2.55,4,0.3
376,100.0,61,3.26424677868189e-10,112.51613,0,0,5,2,0,35,24,9,9,107.8682,1.93,0,1.086666666666667
2210,30.0,6,0.05,1.1673,0,0,5,2,1,17,48,7,7,79.5454,2.67,10,0.82
116,29.57,46,0.2,5.9098,0,0,5,5,1,21,72,17,7,107.8682,1.93,0,1.086666666666667
7,28.41,45,1.422181672017595e-06,6.7774086,0,0,5,5,0,45,48,17,20,107.8682,1.93,0,1.086666666666667
433,50.0,53,0.02,88.986,0,0,9,7,1,1,24,16,7,107.8682,1.93,0,1.086666666666667
1631,240.0,52,3.501876360407152e-07,69.825325,0,0,9,7,0,29,24,17,20,1526.45392,2.564830917874396,4,0.3
3064,10.9,91,0.1,105.69,26,0,5,2,1,4,24,19,5,231.5326,2.75,11,0.8525
2585,957.0,30,7.994032100825752e-12,91.55924,0,1,5,0,0,38,12,14,15,231.5326,2.75,11,0.8525
4785,20.0,48,0.016,68.96,0,0,5,2,1,16,24,17,7,81.4084,2.545,20,0.88
124,29.57,47,0.25,3.8523,0,0,5,2,1,7,72,17,7,107.8682,1.93,0,1.086666666666667
1692,34.64,110,0.05,76.377,0,1,9,3,1,21,48,17,7,720.642,2.55,4,0.3
967,14.5,54,0.0015,99.13,8,0,5,6,1,2,24,17,7,196.966569,2.54,2,1.07
4755,100.0,91,0.02,89.526,0,0,5,2,1,4,3,17,7,81.4084,2.545,20,0.88
4230,160.5,7,5.79303557000731e-10,132.0,0,0,5,2,0,46,6,16,20,79.8658,2.806666666666667,19,0.8516666666666667
