,Diameter (nm),Cell_type,Concentration (g/L),toxicity,Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Test,Test_indicator,Molecular weight (g/mol),Electronegativity,Elements,Ionic radius
0,10.0,91,0.175,98.046,36,0,5,2,1,4,24,19,5,231.5326,2.75,11,0.8525
1,20.0,70,1.044902e-06,87.13451,0,0,5,3,0,30,24,15,12,208.9804,2.02,3,1.035
2,6.3,70,0.0025,98.736,0,0,5,3,1,3,24,19,5,196.966569,2.54,2,1.07
3,40.0,6,0.05,112.56,8,0,5,2,1,17,48,7,7,196.966569,2.54,2,1.07
4,88.5,85,3.699868811506005e-11,103.703705,0,0,5,7,0,29,24,18,21,143.0914,2.413333333333334,10,0.82
5,165.0,5,8.19587540268056e-14,99.75903,0,0,5,2,0,45,24,17,20,81.4084,2.545,20,0.88
6,13.0,87,0.0327292392022346,45.270145,0,0,9,11,0,29,24,15,11,60.0843,2.926666666666666,18,0.54
7,239.0,30,2.928483916027279e-12,96.62921,0,1,5,0,0,38,24,17,20,79.5454,2.67,10,0.82
8,386.9,83,6.207829526824891e-10,94.565216,6,0,12,4,0,25,12,17,20,60.0843,2.926666666666666,18,0.54
9,13.0,78,2.8e-05,86.46,8,0,12,7,1,17,24,23,7,196.966569,2.54,2,1.07
10,52.51,6,6.90320069604794e-09,66.055046,0,0,5,2,0,41,24,17,20,79.5454,2.67,10,0.82
11,18.4,94,0.0005,88.907,27,0,5,2,1,18,24,17,7,231.5326,2.75,11,0.8525
12,6.0,47,0.004,42.229,0,0,5,2,1,7,72,17,7,231.5326,2.75,11,0.8525
13,12.5,50,0.025,59.809,18,0,5,3,1,17,48,12,4,195.084,2.28,16,0.805
14,200.0,48,0.004,99.854,0,0,5,2,1,16,24,17,7,81.4084,2.545,20,0.88
15,29.57,47,0.1,61.265,0,0,5,2,1,7,24,19,5,107.8682,1.93,0,1.086666666666667
16,30.0,44,0.0005,90.958,8,1,5,0,3,24,24,7,7,195.084,2.28,16,0.805
17,50.0,32,0.0125,80.05,11,0,5,3,1,21,48,16,7,107.8682,1.93,0,1.086666666666667
18,115.0,22,1.574844885282227e-09,100.0,17,0,5,2,0,35,24,15,10,79.8658,2.806666666666667,19,0.8516666666666667
19,30.0,75,0.01,77.284,0,0,5,3,1,21,48,17,7,196.966569,2.54,2,1.07
20,10.0,91,0.025,99.257,36,0,5,2,1,4,3,17,7,231.5326,2.75,11,0.8525
21,145.8,87,5.651570349035755e-10,92.4786325,32,0,9,11,0,29,72,14,15,231.5326,2.75,11,0.8525
22,40.0,22,7.190800154934848e-09,90.38612,51,0,5,2,0,35,36,9,9,81.4084,2.545,20,0.88
23,29.57,46,0.2,8.1034,0,0,5,5,1,21,72,5,0,107.8682,1.93,0,1.086666666666667
24,29.57,46,0.6,34.946,0,0,5,5,1,21,24,19,5,107.8682,1.93,0,1.086666666666667
25,47.0,16,0.02,89.755,0,1,5,3,4,21,24,16,7,107.8682,1.93,0,1.086666666666667
26,11.69,60,1.145463171416656e-05,61.43498,0,0,10,2,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
27,15.0,48,1.398088368951045e-07,126.21212,0,0,5,2,0,40,24,18,21,104.14912,2.375,4,0.3
28,20.0,23,0.5,1.5437,0,1,5,3,3,11,72,7,7,107.8682,1.93,0,1.086666666666667
29,11.69,51,1.145463171416656e-05,83.408072,0,0,5,14,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
30,150.0,59,0.2,55.577,43,0,9,3,1,9,24,17,7,231.5326,2.75,11,0.8525
31,25.0,44,1.5021075e-10,104.51613,0,1,5,0,2,48,96,4,9,60.0843,2.926666666666666,18,0.54
32,35.0,6,3.016421941921622e-11,89.47369,8,0,5,2,0,41,48,6,14,196.966569,2.54,2,1.07
33,6.0,92,0.025,92.047,0,0,11,3,1,10,24,17,7,79.8658,2.806666666666667,19,0.8516666666666667
34,15.84,6,0.003,75.089,0,0,5,2,1,17,48,17,7,79.8658,2.806666666666667,19,0.8516666666666667
35,50.0,87,7.185426644710821e-10,23.414427,0,0,9,11,0,29,24,14,15,79.8658,2.806666666666667,19,0.8516666666666667
36,46.3,30,0.001,99.01,0,1,5,2,1,14,12,17,7,79.5454,2.67,10,0.82
37,165.0,5,8.19587540268056e-11,43.79971,0,0,5,2,0,45,48,18,21,81.4084,2.545,20,0.88
38,20.0,70,1.044902e-05,58.161156,25,0,5,3,0,30,72,17,20,208.9804,2.02,3,1.035
39,30.0,13,5.524037494362811e-09,100.97087,0,0,9,3,0,47,48,16,20,95.94,2.16,14,0.775
40,21.0,71,0.05,94.918,0,1,9,7,1,19,24,23,7,12.0107,2.55,4,0.3
41,27.7,46,0.05,99.792,27,0,5,5,1,21,24,17,7,107.8682,1.93,0,1.086666666666667
42,6.3,0,0.0012,103.26,0,0,5,9,1,3,24,19,5,196.966569,2.54,2,1.07
43,215.0,0,0.005,17.12,0,0,5,9,1,3,24,19,5,196.966569,2.54,2,1.07
