,material,cell_line,cell_species,cell_origin,cell_type,toxicity
0,0,4,1,0,1,1
1,0,4,1,0,1,1
2,0,4,1,0,1,1
3,0,4,1,0,1,1
4,0,4,1,0,1,1
5,0,4,1,0,1,1
6,0,4,1,0,1,1
7,0,4,1,0,1,1
8,0,4,1,0,1,1
9,0,4,1,0,1,1
10,0,4,1,0,1,1
11,0,4,1,0,1,1
12,0,4,1,0,1,1
13,0,4,1,0,1,1
14,0,4,1,0,1,1
15,0,4,1,0,1,1
16,0,4,1,0,1,1
17,1,4,1,0,1,1
18,1,4,1,0,1,1
19,1,4,1,0,1,1
20,1,4,1,0,1,1
21,1,4,1,0,1,0
22,1,4,1,0,1,0
23,1,4,1,0,1,0
24,1,4,1,0,1,0
25,1,4,1,0,1,1
26,1,4,1,0,1,1
27,1,4,1,0,1,1
28,1,4,1,0,1,1
29,1,4,1,0,1,1
30,1,4,1,0,1,1
31,1,4,1,0,1,0
32,1,4,1,0,1,0
33,1,4,1,0,1,0
34,2,4,1,0,1,1
35,2,4,1,0,1,1
36,2,4,1,0,1,1
37,2,4,1,0,1,1
38,2,4,1,0,1,1
39,2,4,1,0,1,1
40,2,4,1,0,1,1
41,2,4,1,0,1,1
42,2,4,1,0,1,1
43,2,4,1,0,1,1
44,2,4,1,0,1,1
45,2,4,1,0,1,1
46,2,4,1,0,1,1
47,2,4,1,0,1,1
48,2,4,1,0,1,1
49,2,4,1,0,1,1
50,2,4,1,0,1,1
51,2,4,1,0,1,1
52,3,0,1,5,0,1
53,3,0,1,5,0,1
54,3,0,1,5,0,1
55,3,0,1,5,0,1
56,3,0,1,5,0,1
57,3,0,1,5,0,1
58,3,0,1,5,0,1
59,3,0,1,5,0,1
60,3,4,1,0,1,1
61,3,4,1,0,1,1
62,3,4,1,0,1,1
63,3,4,1,0,1,1
64,3,4,1,0,1,1
65,3,4,1,0,1,1
66,3,4,1,0,1,1
67,3,4,1,0,1,1
68,3,4,1,0,1,1
69,3,4,1,0,1,1
70,3,4,1,0,1,1
71,3,4,1,0,1,1
72,3,4,1,0,1,1
73,3,4,1,0,1,1
74,3,4,1,0,1,1
75,3,4,1,0,1,1
76,3,4,1,0,1,1
77,3,4,1,0,1,1
78,4,8,1,6,1,1
79,4,8,1,6,1,1
80,4,8,1,6,1,1
81,4,8,1,6,1,1
82,4,8,1,6,1,1
83,4,8,1,6,1,1
84,4,8,1,6,1,1
85,4,8,1,6,1,1
86,4,0,1,5,0,1
87,4,0,1,5,0,1
88,4,0,1,5,0,1
89,4,0,1,5,0,1
90,4,0,1,5,0,1
91,4,0,1,5,0,1
92,4,0,1,5,0,1
93,4,0,1,5,0,1
94,4,1,1,5,1,1
95,4,1,1,5,1,1
96,4,1,1,5,1,1
97,4,1,1,5,1,1
98,4,1,1,5,1,1
99,4,1,1,5,1,1
100,4,1,1,5,1,1
101,4,1,1,5,1,1
102,4,0,1,5,0,1
103,4,0,1,5,0,1
104,4,0,1,5,0,1
105,4,0,1,5,0,1
106,4,0,1,5,0,1
107,4,0,1,5,0,1
108,4,0,1,5,0,1
109,5,10,1,1,0,1
110,5,10,1,1,0,1
111,5,10,1,1,0,1
112,5,10,1,1,0,1
113,5,10,1,1,0,1
114,5,10,1,1,0,1
115,5,10,1,1,0,1
116,5,10,1,1,0,1
117,5,10,1,1,0,1
118,5,10,1,1,0,1
119,5,10,1,1,0,1
120,5,10,1,1,0,1
121,5,10,1,1,0,1
122,5,10,1,1,0,1
123,5,10,1,1,0,1
124,5,10,1,1,0,1
125,5,10,1,1,0,1
126,5,10,1,1,0,1
127,5,10,1,1,0,1
128,5,10,1,1,0,1
129,5,10,1,1,0,1
130,5,10,1,1,0,1
131,5,10,1,1,0,1
132,5,10,1,1,0,1
133,5,10,1,1,0,1
134,5,10,1,1,0,1
135,5,10,1,1,0,1
136,5,10,1,1,0,1
137,5,10,1,1,0,1
138,5,10,1,1,0,1
139,5,10,1,1,0,1
140,5,10,1,1,0,1
141,5,10,1,1,0,1
142,5,10,1,1,0,1
143,5,10,1,1,0,1
144,5,10,1,1,0,1
145,5,10,1,1,0,1
146,5,10,1,1,0,1
147,5,10,1,1,0,1
148,5,10,1,1,0,1
149,5,10,1,1,0,1
150,5,10,1,1,0,1
151,5,10,1,1,0,1
152,5,10,1,1,0,1
153,5,10,1,1,0,1
154,5,10,1,1,0,1
155,5,10,1,1,0,1
156,5,10,1,1,0,1
157,5,10,1,1,0,1
158,5,10,1,1,0,1
159,5,10,1,1,0,1
160,5,10,1,1,0,1
161,5,10,1,1,0,1
162,5,10,1,1,0,1
163,5,10,1,1,0,1
164,5,10,1,1,0,1
165,5,10,1,1,0,1
166,5,10,1,1,0,1
167,5,10,1,1,0,1
168,5,10,1,1,0,1
169,5,10,1,1,0,1
170,5,10,1,1,0,1
171,5,10,1,1,0,1
172,5,10,1,1,0,1
173,5,10,1,1,0,1
174,5,10,1,1,0,1
175,5,10,1,1,0,1
176,5,10,1,1,0,1
177,5,10,1,1,0,1
178,5,10,1,1,0,1
179,5,10,1,1,0,1
180,5,10,1,1,0,1
181,5,10,1,1,0,1
182,5,10,1,1,0,1
183,5,10,1,1,0,1
184,5,10,1,1,0,1
185,5,10,1,1,0,1
186,5,10,1,1,0,1
187,5,10,1,1,0,1
188,5,10,1,1,0,1
189,5,10,1,1,0,1
190,5,10,1,1,0,1
191,5,10,1,1,0,1
192,5,10,1,1,0,1
193,5,10,1,1,0,1
194,5,10,1,1,0,1
195,5,10,1,1,0,1
196,5,10,1,1,0,1
197,5,10,1,1,0,1
198,5,10,1,1,0,1
199,5,10,1,1,0,1
200,5,10,1,1,0,1
201,5,10,1,1,0,1
202,5,10,1,1,0,1
203,5,7,1,2,0,1
204,5,7,1,2,0,1
205,5,7,1,2,0,1
206,5,7,1,2,0,1
207,5,13,1,5,1,1
208,5,13,1,5,1,1
209,5,13,1,5,1,1
210,5,13,1,5,1,1
211,5,3,1,4,1,1
212,5,3,1,4,1,1
213,5,3,1,4,1,1
214,5,3,1,4,1,1
215,5,3,1,4,1,1
216,5,3,1,4,1,1
217,5,3,1,4,1,1
218,5,3,1,4,1,1
219,5,3,1,4,1,1
220,5,3,1,4,1,1
221,5,6,1,4,1,1
222,5,6,1,4,1,1
223,5,6,1,4,1,1
224,5,6,1,4,1,1
225,5,6,1,4,1,1
226,5,6,1,4,1,1
227,5,6,1,4,1,1
228,5,6,1,4,1,1
229,5,6,1,4,1,1
230,5,6,1,4,1,1
231,5,6,1,4,1,1
232,5,6,1,4,1,1
233,5,12,0,5,1,1
234,5,12,0,5,1,1
235,5,12,0,5,1,1
236,5,12,0,5,1,1
237,5,12,0,5,1,1
238,5,12,0,5,1,1
239,5,12,0,5,1,1
240,5,12,0,5,1,1
241,5,12,0,5,1,0
242,5,12,0,5,1,1
243,5,12,0,5,1,1
244,5,12,0,5,1,0
245,5,12,0,5,1,1
246,5,12,0,5,1,1
247,5,12,0,5,1,0
248,5,12,0,5,1,1
249,5,12,0,5,1,1
250,5,12,0,5,1,0
251,5,12,0,5,1,1
252,5,12,0,5,1,1
253,5,12,0,5,1,0
254,5,1,1,5,1,1
255,5,1,1,5,1,1
256,5,1,1,5,1,1
257,5,1,1,5,1,1
258,5,1,1,5,1,1
259,5,1,1,5,1,1
260,5,1,1,5,1,1
261,5,1,1,5,1,1
262,5,1,1,5,1,1
263,5,1,1,5,1,1
264,5,9,2,0,0,1
265,5,9,2,0,0,1
266,5,9,2,0,0,1
267,5,9,2,0,0,1
268,5,9,2,0,0,1
269,5,9,2,0,0,1
270,5,9,2,0,0,1
271,5,9,2,0,0,1
272,5,9,2,0,0,1
273,5,9,2,0,0,1
274,5,0,1,5,0,1
275,5,0,1,5,0,1
276,5,0,1,5,0,1
277,5,0,1,5,0,1
278,5,0,1,5,0,1
279,5,0,1,5,0,1
280,5,0,1,5,0,1
281,5,0,1,5,0,1
282,5,0,1,5,0,1
283,5,0,1,5,0,1
284,5,0,1,5,0,1
285,5,0,1,5,0,1
286,5,0,1,5,0,1
287,5,0,1,5,0,1
288,5,0,1,5,0,1
289,5,0,1,5,0,1
290,5,0,1,5,0,1
291,5,0,1,5,0,1
292,5,0,1,5,0,1
293,5,0,1,5,0,1
294,5,0,1,5,0,1
295,5,0,1,5,0,1
296,5,0,1,5,0,1
297,5,0,1,5,0,1
298,5,0,1,5,0,0
299,5,0,1,5,0,1
300,5,0,1,5,0,1
301,5,0,1,5,0,1
302,5,0,1,5,0,1
303,5,0,1,5,0,1
304,5,12,0,5,1,1
305,5,12,0,5,1,1
306,5,12,0,5,1,0
307,5,11,1,3,0,1
308,5,11,1,3,0,1
309,5,11,1,3,0,1
310,5,11,1,3,0,1
311,5,11,1,3,0,1
312,5,11,1,3,0,1
313,5,2,1,3,0,1
314,5,2,1,3,0,1
315,5,2,1,3,0,1
316,5,2,1,3,0,1
317,5,2,1,3,0,1
318,5,2,1,3,0,1
319,5,2,1,3,0,1
320,5,2,1,3,0,1
321,5,11,1,3,0,1
322,5,11,1,3,0,1
323,5,11,1,3,0,1
324,5,11,1,3,0,1
325,5,11,1,3,0,1
326,5,11,1,3,0,1
327,5,11,1,3,0,1
328,5,2,1,3,0,1
329,5,2,1,3,0,1
330,5,2,1,3,0,1
331,5,2,1,3,0,1
332,5,2,1,3,0,1
333,5,2,1,3,0,1
334,5,2,1,3,0,1
335,5,2,1,3,0,1
336,6,4,1,0,1,1
337,6,4,1,0,1,1
338,6,4,1,0,1,1
339,6,4,1,0,1,1
340,6,4,1,0,1,1
341,6,4,1,0,1,1
342,6,4,1,0,1,0
343,6,4,1,0,1,0
344,6,4,1,0,1,0
345,6,4,1,0,1,1
346,6,4,1,0,1,1
347,6,4,1,0,1,1
348,6,4,1,0,1,1
349,6,4,1,0,1,1
350,6,4,1,0,1,1
351,6,4,1,0,1,1
352,6,4,1,0,1,0
353,6,4,1,0,1,0
354,6,5,1,7,1,1
355,6,5,1,7,1,1
356,6,5,1,7,1,0
357,6,5,1,7,1,0
358,6,5,1,7,1,0
359,6,5,1,7,1,1
360,6,5,1,7,1,1
361,6,5,1,7,1,1
362,6,5,1,7,1,0
363,6,5,1,7,1,0
364,6,5,1,7,1,1
365,6,5,1,7,1,1
366,6,5,1,7,1,0
367,6,5,1,7,1,0
368,6,5,1,7,1,0
369,6,5,1,7,1,1
370,6,5,1,7,1,1
371,6,5,1,7,1,0
372,6,5,1,7,1,0
373,6,5,1,7,1,0
374,6,0,1,5,0,1
375,6,0,1,5,0,1
376,6,0,1,5,0,1
377,6,0,1,5,0,1
378,6,0,1,5,0,0
379,6,0,1,5,0,0
380,6,0,1,5,0,1
381,6,0,1,5,0,1
382,6,0,1,5,0,1
383,6,0,1,5,0,0
384,6,0,1,5,0,0
385,6,0,1,5,0,0
386,6,0,1,5,0,1
387,6,0,1,5,0,1
388,6,0,1,5,0,1
389,6,0,1,5,0,0
390,6,0,1,5,0,0
391,6,0,1,5,0,0
392,6,10,1,1,0,1
393,6,10,1,1,0,1
394,6,10,1,1,0,1
395,6,10,1,1,0,1
396,6,10,1,1,0,1
397,6,10,1,1,0,1
398,6,10,1,1,0,1
399,6,10,1,1,0,1
400,6,10,1,1,0,1
401,6,10,1,1,0,1
402,6,10,1,1,0,1
403,6,10,1,1,0,1
404,6,10,1,1,0,1
405,6,10,1,1,0,1
406,6,10,1,1,0,1
407,6,10,1,1,0,1
408,6,10,1,1,0,1
409,6,10,1,1,0,0
410,6,10,1,1,0,1
411,6,10,1,1,0,1
412,6,10,1,1,0,1
413,6,10,1,1,0,1
414,6,10,1,1,0,1
415,6,10,1,1,0,1
416,6,10,1,1,0,1
417,6,10,1,1,0,1
418,6,10,1,1,0,1
419,6,10,1,1,0,1
420,6,10,1,1,0,1
421,6,10,1,1,0,1
422,6,10,1,1,0,1
423,6,10,1,1,0,1
424,6,10,1,1,0,1
425,6,10,1,1,0,1
426,6,10,1,1,0,1
427,6,10,1,1,0,1
428,6,10,1,1,0,1
429,6,10,1,1,0,1
430,6,10,1,1,0,1
431,6,10,1,1,0,1
432,6,10,1,1,0,0
433,6,10,1,1,0,0
434,6,10,1,1,0,0
435,6,10,1,1,0,0
436,6,10,1,1,0,1
437,6,10,1,1,0,1
438,6,10,1,1,0,1
439,6,10,1,1,0,1
440,6,10,1,1,0,0
441,6,10,1,1,0,0
442,6,10,1,1,0,0
443,6,10,1,1,0,0
444,6,10,1,1,0,0
445,6,10,1,1,0,1
446,6,10,1,1,0,1
447,6,10,1,1,0,1
448,6,10,1,1,0,1
449,6,10,1,1,0,1
450,6,10,1,1,0,1
451,6,10,1,1,0,1
452,6,10,1,1,0,1
453,6,10,1,1,0,0
454,6,10,1,1,0,1
455,6,10,1,1,0,1
456,6,10,1,1,0,1
457,6,10,1,1,0,1
458,6,10,1,1,0,1
459,6,10,1,1,0,1
460,6,10,1,1,0,1
461,6,10,1,1,0,0
462,6,0,1,5,0,1
463,6,0,1,5,0,1
464,6,0,1,5,0,1
465,6,0,1,5,0,1
