X,Y,Z
2.9992,538.353,0.00029
2.5877,538.348,1.5168
1.4672,538.336,2.6166
-0.0567,538.34,2.9998
-1.5653,538.341,2.56
-2.6439,538.348,1.4193
-2.9987,538.357,-0.11152
-2.531,538.373,-1.6115
-1.3706,538.379,-2.6687
0.16663,538.381,-2.995
1.6576,538.372,-2.4996
2.6931,538.37,-1.32
115,542.925,0.00049
114.56,542.907,-10.026
113.25,542.881,-19.975
111.08,542.846,-29.773
108.06,542.806,-39.344
104.22,542.763,-48.615
99.583,542.709,-57.516
94.189,542.654,-65.979
88.078,542.604,-73.939
81.297,542.54,-81.337
73.896,542.479,-88.115
65.932,542.422,-94.222
57.467,542.37,-99.611
48.563,542.327,-104.24
39.29,542.289,-108.08
29.718,542.257,-111.09
19.919,542.233,-113.26
9.9689,542.219,-114.57
-0.0574,542.21,-115
-10.083,542.22,-114.56
-20.032,542.232,-113.24
-29.829,542.255,-111.06
-39.398,542.285,-108.04
-48.667,542.33,-104.19
-57.566,542.379,-99.555
-66.027,542.431,-94.157
-73.984,542.484,-88.042
-81.378,542.54,-81.257
-88.153,542.604,-73.853
-94.256,542.66,-65.886
-99.641,542.718,-57.418
-104.27,542.769,-48.512
-108.1,542.812,-39.237
-111.11,542.847,-29.663
-113.27,542.883,-19.864
-114.57,542.905,-9.9128
-115,542.927,0.1137
-114.55,542.927,10.139
-113.23,542.931,20.088
-111.05,542.921,29.883
-108.02,542.904,39.451
-104.17,542.879,48.718
-99.527,542.844,57.615
-94.125,542.805,66.073
-88.007,542.764,74.027
-81.218,542.722,81.418
-73.81,542.685,88.189
-65.841,542.635,94.288
-57.37,542.599,99.669
-48.462,542.56,104.29
-39.185,542.534,108.12
-29.61,542.502,111.12
-19.809,542.483,113.28
-9.8573,542.481,114.58
0.16943,542.471,115
10.195,542.475,114.55
20.143,542.489,113.22
29.937,542.51,111.04
39.503,542.537,108
48.769,542.567,104.15
57.663,542.601,99.499
66.118,542.638,94.092
74.069,542.685,87.97
81.457,542.725,81.177
88.224,542.767,73.766
94.319,542.812,65.794
99.696,542.846,57.32
104.31,542.871,48.41
108.14,542.901,39.131
111.14,542.917,29.554
113.29,542.93,19.752
114.58,542.931,9.8002
4.3376,538.369,-1.0057
3.5217,538.379,-2.8038
-2.9605,538.38,-3.2484
-3.1944,538.337,3.0202
3.0783,538.338,3.1373
0.93317,538.392,-4.2441
-4.2504,538.37,-1.3247
-1.2467,538.335,4.2746
4.0241,538.355,1.131
1.0851,538.329,4.3191
-4.3393,538.351,1.00569
-0.87019,538.39,-4.0921
5.4601,538.385,-2.7514
4.6118,538.394,-4.5404
2.6591,538.396,-4.4951
3.6033,538.414,-6.3837
1.4454,538.404,-6.0567
-0.11922,538.405,-5.4215
-1.8869,538.402,-5.8874
-0.31244,538.423,-7.2757
6.4199,538.404,-4.2884
6.3665,538.373,-1.0404
7.6994,538.394,-2.8838
5.3808,538.355,0.65349
5.5717,538.354,2.4592
7.3997,538.365,1.3529
5.8924,538.415,-6.2407
-2.8684,538.438,-8.4494
7.5607,538.354,3.6826
1.786,538.434,-8.4248
8.7633,538.419,-5.3271
8.8305,538.382,-0.92087
4.893,538.445,-8.6359
-4.9215,538.387,-3.169
-6.3994,538.375,-1.4346
-4.2162,538.401,-4.9012
-6.2881,538.413,-5.2302
-5.71,538.363,0.18277
-5.9347,538.351,2.0118
-7.6262,538.369,0.65557
-7.5505,538.401,-3.3769
-5.0239,538.426,-6.9707
-8.7759,538.426,-5.4694
-7.9375,538.356,2.8694
-8.9285,538.384,-1.1809
-3.1783,538.328,5.2283
-1.4202,538.325,6.471
-4.798,538.333,4.0979
-5.1453,538.33,6.228
-3.4898,538.323,7.4525
0.33497,538.323,5.6818
2.4544,538.322,5.7298
0.80228,538.322,7.6144
-5.4477,538.329,8.3599
-6.7303,538.342,4.7885
3.1844,538.318,8.0742
-1.6863,538.315,8.7473
9.8725,538.369,2.3524
5.1987,538.34,4.5858
7.1596,538.336,6.1299
-7.6637,538.438,-7.4264
-7.3463,538.333,7.2154
-0.51536,538.454,-9.9031
1.531,538.311,10.239
4.7742,538.33,6.638
5.8737,538.326,8.6705
-10.106,538.372,1.7668
-10.102,538.458,-7.7746
-10.168,538.417,-3.4937
10.276,538.412,-3.3287
-11.721,538.406,-1.2028
-9.2904,538.357,5.1243
-4.251,538.313,9.8655
-7.364,538.333,10.506
9.9139,538.357,5.2249
11.936,538.446,-6.1738
-6.2269,538.457,-9.5751
7.358,538.442,-8.1221
4.1917,538.32,10.877
-3.6369,538.472,-11.375
12.968,538.388,3.3
2.0614,538.465,-11.384
2.1599,538.315,13.483
-11.741,538.447,-6.2701
-13.771,538.399,1.6057
-12.755,538.438,-3.9137
-1.8741,538.31,11.817
6.5353,538.484,-11.365
11.872,538.401,-0.73245
9.0129,538.339,8.5187
-9.3971,538.475,-10.162
-13.165,538.502,-9.8208
-10.1,538.351,8.2858
-0.74616,538.493,-13.151
7.312,538.328,11.568
11.518,538.355,11.319
13.714,538.438,-3.6532
-5.0295,538.315,13.237
15.942,538.489,-7.0698
9.6866,538.459,-8.7068
-12.244,538.376,5.1319
-15.045,538.443,-2.0533
-15.712,538.48,-6.2064
-7.3854,538.497,-12.754
-11.257,538.351,11.847
12.856,538.365,7.2201
-4.5824,538.519,-15.049
13.281,538.501,-9.8756
5.2057,538.322,14.596
2.845,538.518,-14.803
-16.134,538.408,5.0402
2.2047,538.315,17.691
15.762,538.433,-0.32061
-1.9814,538.311,15.793
-11.575,538.537,-13.531
-16.118,538.581,-14.232
-17.995,538.446,1.1197
9.0262,538.335,15.397
16.94,538.417,4.885
-1.0955,538.551,-17.303
6.5313,538.337,19.083
-8.6584,538.332,14.805
-14.06,538.376,8.9685
17.471,538.565,-11.531
10.579,538.518,-12.608
-5.1429,538.33,17.64
18.165,538.485,-4.0933
7.3012,538.543,-15.855
14.358,538.556,-13.707
-1.322,538.334,20.55
-8.8939,538.566,-16.833
-16.119,538.397,13.107
-13.152,538.365,16.261
-5.586,538.603,-19.903
-21.183,538.461,5.0775
13.873,538.372,15.384
11.945,538.591,-16.909
20.905,538.559,-8.4589
3.0137,538.597,-19.763
-18.802,538.482,-2.8027
16.958,538.399,10.462
2.8012,538.346,22.857
-18.436,538.558,-10.592
17.596,538.642,-17.432
-10.006,538.356,19.341
20.661,538.486,0.14834
-18.882,538.424,9.2839
-21.107,538.641,-14.413
-13.887,538.622,-18.148
11.33,538.367,19.683
-10.766,538.667,-22.031
-18.386,538.43,18.192
-14.908,538.401,20.579
8.2611,538.632,-20.904
17.433,538.423,19.828
22.833,538.658,-14.069
22.016,538.469,6.3399
-23.295,538.528,-0.65424
-1.4645,538.64,-22.582
-6.2919,538.359,23.111
-21.166,538.542,-6.2463
23.761,538.56,-4.5314
-24.742,538.505,9.952
-27.337,538.561,4.9683
-1.8715,538.368,26.372
-19.998,538.686,-18.475
13.562,538.693,-22.553
27.108,538.667,-9.9672
8.6202,538.376,24.276
-6.7867,538.713,-25.775
3.6012,538.701,-25.662
-12.249,538.408,25.264
15.076,538.432,24.988
-24.507,538.641,-11.113
9.5002,538.754,-27.189
-21.588,538.462,13.995
-20.396,538.49,24.389
23.118,538.48,12.391
-27.005,538.775,-17.615
-7.7695,538.413,29.74
-16.931,538.736,-23.181
26.718,538.574,0.79433
22.088,538.512,25.062
18.862,538.426,15.342
-28.453,538.568,15.272
-31.531,538.621,10.61
23.281,538.489,18.524
4.0376,538.403,29.363
-24.029,538.836,-23.839
20.43,538.792,-24.093
-1.9513,538.763,-29.087
29.286,538.791,-16.345
28.374,538.564,8.0181
-24.726,538.52,20.332
-13.05,538.8,-28.267
-27.213,538.635,-6.0581
30.646,538.682,-4.8704
-29.371,538.624,-0.63814
29.219,538.584,15.662
4.853,538.844,-32.512
16.531,538.843,-28.975
29.675,538.631,23.51
-14.709,538.488,31.772
34.7,538.83,-11.462
-7.9032,538.866,-32.782
11.12,538.453,31.234
-27.539,538.629,27.568
-31.549,538.775,-11.649
-1.839,538.448,33.638
-34.087,538.696,3.8247
-35.009,538.766,-4.6401
-15.31,539.001,-36.336
35.484,538.705,10.854
-36.13,538.953,-18.298
24.224,538.758,-19.198
23.826,538.965,-30.607
29.212,538.912,-23.609
34.123,538.709,1.7357
-31.996,538.667,22.577
12.247,538.928,-34.297
-39.399,538.805,10.036
-36.138,538.733,17
18.507,538.534,32.106
-8.8225,538.531,37.801
-19.815,538.911,-30.674
19.415,539.032,-36.151
5.2083,538.507,37.148
-39.9,538.953,-11.527
-1.0284,538.943,-36.874
37.059,538.98,-18.68
13.951,538.59,38.975
38.902,538.859,-4.9984
36.056,538.743,19.335
-23.857,539.151,-38.513
-35.819,538.831,30.309
-22.113,538.604,33.505
43.661,539.065,-12.691
27.38,538.668,31.615
6.6797,539.031,-39.913
27.715,539.187,-37.774
14.565,539.118,-41.589
-32.357,538.994,-24.871
-7.9044,539.058,-40.918
-1.6975,538.584,42.183
-44.729,538.969,17.702
-40.481,538.89,24.553
-0.47511,539.173,-45.614
-41.67,538.881,2.4725
-41.035,539.198,-25.696
-44.935,539.181,-18.429
31.103,539.093,-31.075
21.524,539.253,-43.76
-28.594,539.059,-31.369
-16.216,538.638,40.31
-42.936,538.957,-4.5732
22.497,538.707,39.697
43.718,538.925,4.3076
8.4674,539.267,-48.175
-9.618,538.722,47.076
-48.237,539.055,8.6075
36.084,538.825,29.701
16.615,539.383,-50.225
44.012,538.928,14.538
-37.273,539.251,-32.495
-30.34,538.782,35.866
7.654,538.668,45.247
-50.268,539.15,-0.20023
-49.658,539.211,-10.247
17.576,538.793,46.991
10.327,539.524,-56.1
24.422,539.535,-52.229
30.404,539.437,-45.598
-45.255,539.119,32.291
-39.304,539.055,38.996
-49.668,539.175,25.508
-46.096,539.491,-33.517
-50.155,539.454,-25.849
36.726,539.352,-37.367
