wavelength,value
3998.26466,0.00342
3997.30030,0.00344
3996.33593,0.00356
3995.37156,0.00375
3994.40719,0.00385
3993.44283,0.00384
3992.47846,0.00377
3991.51409,0.00358
3990.54973,0.00322
3989.58536,0.00299
3988.62099,0.00314
3987.65663,0.00336
3986.69226,0.00341
3985.72789,0.00336
3984.76353,0.00335
3983.79916,0.00345
3982.83479,0.00357
3981.87043,0.00342
3980.90606,0.00300
3979.94169,0.00287
3978.97733,0.00326
3978.01296,0.00363
3977.04859,0.00351
3976.08423,0.00326
3975.11986,0.00334
3974.15549,0.00357
3973.19113,0.00363
3972.22676,0.00351
3971.26239,0.00329
3970.29803,0.00306
3969.33366,0.00295
3968.36929,0.00305
3967.40493,0.00324
3966.44056,0.00326
3965.47619,0.00309
3964.51182,0.00303
3963.54746,0.00319
3962.58309,0.00338
3961.61872,0.00345
3960.65436,0.00332
3959.68999,0.00297
3958.72562,0.00265
3957.76126,0.00273
3956.79689,0.00315
3955.83252,0.00357
3954.86816,0.00381
3953.90379,0.00376
3952.93942,0.00337
3951.97506,0.00297
3951.01069,0.00291
3950.04632,0.00312
3949.08196,0.00330
3948.11759,0.00339
3947.15322,0.00348
3946.18886,0.00347
3945.22449,0.00326
3944.26012,0.00300
3943.29576,0.00292
3942.33139,0.00304
3941.36702,0.00321
3940.40266,0.00335
3939.43829,0.00353
3938.47392,0.00367
3937.50955,0.00360
3936.54519,0.00338
3935.58082,0.00320
3934.61645,0.00313
3933.65209,0.00314
3932.68772,0.00319
3931.72335,0.00326
3930.75899,0.00329
3929.79462,0.00324
3928.83025,0.00321
3927.86589,0.00327
3926.90152,0.00336
3925.93715,0.00336
3924.97279,0.00330
3924.00842,0.00323
3923.04405,0.00315
3922.07969,0.00307
3921.11532,0.00302
3920.15095,0.00300
3919.18659,0.00300
3918.22222,0.00305
3917.25785,0.00324
3916.29349,0.00349
3915.32912,0.00358
3914.36475,0.00345
3913.40039,0.00324
3912.43602,0.00311
3911.47165,0.00312
3910.50729,0.00327
3909.54292,0.00346
3908.57855,0.00357
3907.61418,0.00352
3906.64982,0.00332
3905.68545,0.00305
3904.72108,0.00284
3903.75672,0.00284
3902.79235,0.00301
3901.82798,0.00322
3900.86362,0.00330
3899.89925,0.00322
3898.93488,0.00311
3897.97052,0.00315
3897.00615,0.00332
3896.04178,0.00342
3895.07742,0.00337
3894.11305,0.00321
3893.14868,0.00304
3892.18432,0.00295
3891.21995,0.00293
3890.25558,0.00295
3889.29122,0.00299
3888.32685,0.00307
3887.36248,0.00314
3886.39812,0.00313
3885.43375,0.00301
3884.46938,0.00291
3883.50502,0.00292
3882.54065,0.00301
3881.57628,0.00307
3880.61191,0.00303
3879.64755,0.00294
3878.68318,0.00289
3877.71881,0.00298
3876.75445,0.00326
3875.79008,0.00358
3874.82571,0.00372
3873.86135,0.00358
3872.89698,0.00324
3871.93261,0.00288
3870.96825,0.00257
3870.00388,0.00238
3869.03951,0.00239
3868.07515,0.00258
3867.11078,0.00285
3866.14641,0.00308
3865.18205,0.00321
3864.21768,0.00325
3863.25331,0.00323
3862.28895,0.00317
3861.32458,0.00309
3860.36021,0.00304
3859.39585,0.00305
3858.43148,0.00312
3857.46711,0.00325
3856.50275,0.00336
3855.53838,0.00334
3854.57401,0.00317
3853.60965,0.00295
3852.64528,0.00277
3851.68091,0.00271
3850.71654,0.00280
3849.75218,0.00298
3848.78781,0.00320
3847.82344,0.00343
3846.85908,0.00361
3845.89471,0.00369
3844.93034,0.00362
3843.96598,0.00345
3843.00161,0.00325
3842.03724,0.00311
3841.07288,0.00305
3840.10851,0.00307
3839.14414,0.00321
3838.17978,0.00347
3837.21541,0.00375
3836.25104,0.00394
3835.28668,0.00397
3834.32231,0.00381
3833.35794,0.00354
3832.39358,0.00331
3831.42921,0.00326
3830.46484,0.00343
3829.50048,0.00370
3828.53611,0.00397
3827.57174,0.00415
3826.60738,0.00419
3825.64301,0.00407
3824.67864,0.00388
3823.71428,0.00377
3822.74991,0.00380
3821.78554,0.00392
3820.82117,0.00405
3819.85681,0.00406
3818.89244,0.00388
3817.92807,0.00354
3816.96371,0.00321
3815.99934,0.00305
3815.03497,0.00310
3814.07061,0.00322
3813.10624,0.00333
3812.14187,0.00348
3811.17751,0.00369
3810.21314,0.00385
3809.24877,0.00388
3808.28441,0.00379
3807.32004,0.00367
3806.35567,0.00357
3805.39131,0.00349
3804.42694,0.00349
3803.46257,0.00360
3802.49821,0.00383
3801.53384,0.00404
3800.56947,0.00405
3799.60511,0.00386
3798.64074,0.00362
3797.67637,0.00343
3796.71201,0.00331
3795.74764,0.00330
3794.78327,0.00339
3793.81890,0.00349
3792.85454,0.00353
3791.89017,0.00352
3790.92580,0.00352
3789.96144,0.00357
3788.99707,0.00365
3788.03270,0.00375
3787.06834,0.00382
3786.10397,0.00390
3785.13960,0.00403
3784.17524,0.00420
3783.21087,0.00436
3782.24650,0.00453
3781.28214,0.00460
3780.31777,0.00445
3779.35340,0.00413
3778.38904,0.00382
3777.42467,0.00369
3776.46030,0.00375
3775.49594,0.00390
3774.53157,0.00399
3773.56720,0.00391
3772.60284,0.00371
3771.63847,0.00352
3770.67410,0.00339
3769.70974,0.00334
3768.74537,0.00337
3767.78100,0.00351
3766.81664,0.00372
3765.85227,0.00391
3764.88790,0.00398
3763.92353,0.00396
3762.95917,0.00390
3761.99480,0.00385
3761.03043,0.00385
3760.06607,0.00397
3759.10170,0.00420
3758.13733,0.00438
3757.17297,0.00437
3756.20860,0.00426
3755.24423,0.00424
3754.27987,0.00437
3753.31550,0.00460
3752.35113,0.00479
3751.38677,0.00479
3750.42240,0.00454
3749.45803,0.00420
3748.49367,0.00403
3747.52930,0.00411
3746.56493,0.00426
3745.60057,0.00437
3744.63620,0.00450
3743.67183,0.00470
3742.70747,0.00487
3741.74310,0.00491
3740.77873,0.00490
3739.81437,0.00497
3738.85000,0.00504
