wavelength,value
3998.26466,0.01312
3997.30030,0.01318
3996.33593,0.01316
3995.37156,0.01311
3994.40719,0.01310
3993.44283,0.01310
3992.47846,0.01288
3991.51409,0.01250
3990.54973,0.01236
3989.58536,0.01258
3988.62099,0.01298
3987.65663,0.01335
3986.69226,0.01351
3985.72789,0.01346
3984.76353,0.01327
3983.79916,0.01293
3982.83479,0.01270
3981.87043,0.01278
3980.90606,0.01299
3979.94169,0.01309
3978.97733,0.01296
3978.01296,0.01270
3977.04859,0.01269
3976.08423,0.01307
3975.11986,0.01355
3974.15549,0.01382
3973.19113,0.01376
3972.22676,0.01344
3971.26239,0.01311
3970.29803,0.01294
3969.33366,0.01300
3968.36929,0.01321
3967.40493,0.01338
3966.44056,0.01346
3965.47619,0.01347
3964.51182,0.01342
3963.54746,0.01333
3962.58309,0.01325
3961.61872,0.01324
3960.65436,0.01336
3959.68999,0.01347
3958.72562,0.01330
3957.76126,0.01296
3956.79689,0.01291
3955.83252,0.01319
3954.86816,0.01340
3953.90379,0.01335
3952.93942,0.01328
3951.97506,0.01335
3951.01069,0.01343
3950.04632,0.01337
3949.08196,0.01326
3948.11759,0.01329
3947.15322,0.01349
3946.18886,0.01371
3945.22449,0.01374
3944.26012,0.01357
3943.29576,0.01338
3942.33139,0.01333
3941.36702,0.01342
3940.40266,0.01349
3939.43829,0.01345
3938.47392,0.01335
3937.50955,0.01332
3936.54519,0.01337
3935.58082,0.01336
3934.61645,0.01319
3933.65209,0.01298
3932.68772,0.01293
3931.72335,0.01306
3930.75899,0.01322
3929.79462,0.01326
3928.83025,0.01316
3927.86589,0.01304
3926.90152,0.01300
3925.93715,0.01302
3924.97279,0.01301
3924.00842,0.01304
3923.04405,0.01322
3922.07969,0.01350
3921.11532,0.01371
3920.15095,0.01374
3919.18659,0.01364
3918.22222,0.01349
3917.25785,0.01331
3916.29349,0.01312
3915.32912,0.01306
3914.36475,0.01320
3913.40039,0.01344
3912.43602,0.01361
3911.47165,0.01362
3910.50729,0.01354
3909.54292,0.01341
3908.57855,0.01321
3907.61418,0.01295
3906.64982,0.01279
3905.68545,0.01286
3904.72108,0.01309
3903.75672,0.01328
3902.79235,0.01334
3901.82798,0.01335
3900.86362,0.01337
3899.89925,0.01340
3898.93488,0.01341
3897.97052,0.01342
3897.00615,0.01351
3896.04178,0.01367
3895.07742,0.01370
3894.11305,0.01351
3893.14868,0.01323
3892.18432,0.01311
3891.21995,0.01320
3890.25558,0.01339
3889.29122,0.01350
3888.32685,0.01348
3887.36248,0.01334
3886.39812,0.01318
3885.43375,0.01309
3884.46938,0.01309
3883.50502,0.01311
3882.54065,0.01303
3881.57628,0.01292
3880.61191,0.01290
3879.64755,0.01305
3878.68318,0.01332
3877.71881,0.01354
3876.75445,0.01362
3875.79008,0.01364
3874.82571,0.01370
3873.86135,0.01382
3872.89698,0.01396
3871.93261,0.01406
3870.96825,0.01409
3870.00388,0.01411
3869.03951,0.01422
3868.07515,0.01440
3867.11078,0.01449
3866.14641,0.01432
3865.18205,0.01397
3864.21768,0.01366
3863.25331,0.01353
3862.28895,0.01360
3861.32458,0.01382
3860.36021,0.01412
3859.39585,0.01439
3858.43148,0.01454
3857.46711,0.01457
3856.50275,0.01459
3855.53838,0.01458
3854.57401,0.01438
3853.60965,0.01398
3852.64528,0.01363
3851.68091,0.01361
3850.71654,0.01389
3849.75218,0.01415
3848.78781,0.01418
3847.82344,0.01405
3846.85908,0.01401
3845.89471,0.01415
3844.93034,0.01437
3843.96598,0.01449
3843.00161,0.01445
3842.03724,0.01432
3841.07288,0.01426
3840.10851,0.01434
3839.14414,0.01453
3838.17978,0.01477
3837.21541,0.01502
3836.25104,0.01525
3835.28668,0.01535
3834.32231,0.01522
3833.35794,0.01492
3832.39358,0.01459
3831.42921,0.01437
3830.46484,0.01434
3829.50048,0.01448
3828.53611,0.01467
3827.57174,0.01480
3826.60738,0.01479
3825.64301,0.01467
3824.67864,0.01448
3823.71428,0.01431
3822.74991,0.01422
3821.78554,0.01428
3820.82117,0.01452
3819.85681,0.01485
3818.89244,0.01514
3817.92807,0.01528
3816.96371,0.01523
3815.99934,0.01505
3815.03497,0.01493
3814.07061,0.01498
3813.10624,0.01512
3812.14187,0.01527
3811.17751,0.01541
3810.21314,0.01547
3809.24877,0.01540
3808.28441,0.01515
3807.32004,0.01481
3806.35567,0.01461
3805.39131,0.01462
3804.42694,0.01475
3803.46257,0.01488
3802.49821,0.01494
3801.53384,0.01495
3800.56947,0.01494
3799.60511,0.01494
3798.64074,0.01489
3797.67637,0.01485
3796.71201,0.01492
3795.74764,0.01504
3794.78327,0.01510
3793.81890,0.01506
3792.85454,0.01503
3791.89017,0.01510
3790.92580,0.01522
3789.96144,0.01530
3788.99707,0.01533
3788.03270,0.01539
3787.06834,0.01551
3786.10397,0.01567
3785.13960,0.01583
3784.17524,0.01598
3783.21087,0.01611
3782.24650,0.01621
3781.28214,0.01620
3780.31777,0.01607
3779.35340,0.01593
3778.38904,0.01589
3777.42467,0.01595
3776.46030,0.01605
3775.49594,0.01614
3774.53157,0.01625
3773.56720,0.01639
3772.60284,0.01653
3771.63847,0.01665
3770.67410,0.01670
3769.70974,0.01667
3768.74537,0.01656
3767.78100,0.01647
3766.81664,0.01648
3765.85227,0.01657
3764.88790,0.01664
3763.92353,0.01663
3762.95917,0.01657
3761.99480,0.01659
3761.03043,0.01674
3760.06607,0.01695
3759.10170,0.01713
3758.13733,0.01727
3757.17297,0.01742
3756.20860,0.01755
3755.24423,0.01753
3754.27987,0.01737
3753.31550,0.01727
3752.35113,0.01741
3751.38677,0.01770
3750.42240,0.01790
3749.45803,0.01788
3748.49367,0.01779
3747.52930,0.01780
3746.56493,0.01795
3745.60057,0.01818
3744.63620,0.01844
3743.67183,0.01873
3742.70747,0.01900
3741.74310,0.01917
3740.77873,0.01921
3739.81437,0.01915
3738.85000,0.01914
3737.88563,0.01928
3736.92127,0.01947
3735.95690,0.01956
3734.99253,0.01955
3734.02816,0.01957
3733.06380,0.01968
3732.09943,0.01989
3731.13506,0.02010
3730.17070,0.02024
3729.20633,0.02027
3728.24196,0.02018
3727.27760,0.02006
3726.31323,0.02009
3725.34886,0.02035
3724.38450,0.02074
3723.42013,0.02112
3722.45576,0.02140
3721.49140,0.02154
3720.52703,0.02157
3719.56266,0.02159
3718.59830,0.02165
3717.63393,0.02170
3716.66956,0.02177
3715.70520,0.02197
3714.74083,0.02230
3713.77646,0.02260
3712.81210,0.02277
3711.84773,0.02285
3710.88336,0.02296
3709.91900,0.02326
3708.95463,0.02379
3707.99026,0.02442
3707.02589,0.02489
3706.06153,0.02513
3705.09716,0.02517
3704.13279,0.02518
3703.16843,0.02528
3702.20406,0.02556
3701.23969,0.02596
3700.27533,0.02637
3699.31096,0.02670
3698.34659,0.02692
3697.38223,0.02707
3696.41786,0.02727
3695.45349,0.02771
3694.48913,0.02833
3693.52476,0.02906
3692.56039,0.02961
3691.59603,0.02996
3690.63166,0.03017
3689.66729,0.03036
3688.70293,0.03047
3687.73856,0.03070
3686.77419,0.03111
3685.80983,0.03171
3684.84546,0.03230
3683.88109,0.03287
3682.91673,0.03337
3681.95236,0.03384
3680.98799,0.03426
3680.02363,0.03469
3679.05926,0.03518
3678.09489,0.03576
3677.13052,0.03640
3676.16616,0.03715
3675.20179,0.03805
3674.23742,0.03897
3673.27306,0.03974
3672.30869,0.04024
3671.34432,0.04062
3670.37996,0.04106
3669.41559,0.04169
3668.45122,0.04237
3667.48686,0.04298
3666.52249,0.04360
3665.55812,0.04434
3664.59376,0.04520
3663.62939,0.04613
3662.66502,0.04711
3661.70066,0.04812
3660.73629,0.04906
3659.77192,0.04982
3658.80756,0.05042
3657.84319,0.05093
3656.87882,0.05143
3655.91446,0.05200
3654.95009,0.05268
3653.98572,0.05335
3653.02136,0.05388
3652.05699,0.05433
3651.09262,0.05494
3650.12826,0.05580
3649.16389,0.05672
3648.19952,0.05753
3647.23515,0.05824
3646.27079,0.05893
3645.30642,0.05961
3644.34205,0.06032
3643.37769,0.06116
3642.41332,0.06211
3641.44895,0.06307
3640.48459,0.06395
3639.52022,0.06472
3638.55585,0.06538
3637.59149,0.06597
3636.62712,0.06652
3635.66275,0.06711
3634.69839,0.06779
3633.73402,0.06852
3632.76965,0.06917
3631.80529,0.06965
3630.84092,0.07006
3629.87655,0.07056
3628.91219,0.07117
3627.94782,0.07189
3626.98345,0.07266
3626.01909,0.07346
3625.05472,0.07426
3624.09035,0.07495
3623.12599,0.07553
3622.16162,0.07605
3621.19725,0.07654
3620.23288,0.07705
3619.26852,0.07762
3618.30415,0.07827
3617.33978,0.07905
3616.37542,0.07990
3615.41105,0.08067
3614.44668,0.08126
3613.48232,0.08163
3612.51795,0.08186
3611.55358,0.08219
3610.58922,0.08279
3609.62485,0.08359
3608.66048,0.08443
3607.69612,0.08525
3606.73175,0.08600
3605.76738,0.08668
3604.80302,0.08726
3603.83865,0.08774
3602.87428,0.08815
3601.90992,0.08856
3600.94555,0.08900
3599.98118,0.08954
3599.01682,0.09025
3598.05245,0.09105
3597.08808,0.09184
3596.12372,0.09255
3595.15935,0.09324
3594.19498,0.09388
3593.23062,0.09447
3592.26625,0.09493
3591.30188,0.09524
3590.33751,0.09557
3589.37315,0.09625
3588.40878,0.09731
3587.44441,0.09837
3586.48005,0.09913
3585.51568,0.09960
3584.55131,0.09996
3583.58695,0.10036
3582.62258,0.10089
3581.65821,0.10157
3580.69385,0.10229
3579.72948,0.10287
3578.76511,0.10334
3577.80075,0.10384
3576.83638,0.10451
3575.87201,0.10537
3574.90765,0.10629
3573.94328,0.10709
3572.97891,0.10766
3572.01455,0.10803
3571.05018,0.10834
3570.08581,0.10888
3569.12145,0.10981
3568.15708,0.11094
3567.19271,0.11179
3566.22835,0.11234
3565.26398,0.11290
3564.29961,0.11357
3563.33524,0.11425
3562.37088,0.11495
3561.40651,0.11572
3560.44214,0.11652
3559.47778,0.11738
3558.51341,0.11836
3557.54904,0.11932
3556.58468,0.12007
3555.62031,0.12056
3554.65594,0.12100
3553.69158,0.12168
3552.72721,0.12267
3551.76284,0.12359
3550.79848,0.12414
3549.83411,0.12448
3548.86974,0.12493
3547.90538,0.12554
3546.94101,0.12617
3545.97664,0.12673
3545.01228,0.12733
3544.04791,0.12817
3543.08354,0.12925
3542.11918,0.13024
3541.15481,0.13097
3540.19044,0.13157
3539.22608,0.13224
3538.26171,0.13305
3537.29734,0.13382
3536.33298,0.13440
3535.36861,0.13487
3534.40424,0.13548
3533.43987,0.13635
3532.47551,0.13734
