wavelength,value
3998.26466,0.01199
3997.30030,0.01158
3996.33593,0.01123
3995.37156,0.01118
3994.40719,0.01132
3993.44283,0.01139
3992.47846,0.01140
3991.51409,0.01149
3990.54973,0.01170
3989.58536,0.01190
3988.62099,0.01184
3987.65663,0.01154
3986.69226,0.01133
3985.72789,0.01140
3984.76353,0.01165
3983.79916,0.01185
3982.83479,0.01190
3981.87043,0.01186
3980.90606,0.01181
3979.94169,0.01181
3978.97733,0.01198
3978.01296,0.01228
3977.04859,0.01243
3976.08423,0.01229
3975.11986,0.01201
3974.15549,0.01189
3973.19113,0.01202
3972.22676,0.01221
3971.26239,0.01220
3970.29803,0.01197
3969.33366,0.01168
3968.36929,0.01149
3967.40493,0.01145
3966.44056,0.01160
3965.47619,0.01200
3964.51182,0.01236
3963.54746,0.01230
3962.58309,0.01198
3961.61872,0.01183
3960.65436,0.01191
3959.68999,0.01206
3958.72562,0.01216
3957.76126,0.01221
3956.79689,0.01225
3955.83252,0.01220
3954.86816,0.01198
3953.90379,0.01172
3952.93942,0.01161
3951.97506,0.01170
3951.01069,0.01192
3950.04632,0.01220
3949.08196,0.01245
3948.11759,0.01253
3947.15322,0.01244
3946.18886,0.01228
3945.22449,0.01209
3944.26012,0.01190
3943.29576,0.01180
3942.33139,0.01186
3941.36702,0.01192
3940.40266,0.01186
3939.43829,0.01179
3938.47392,0.01181
3937.50955,0.01197
3936.54519,0.01218
3935.58082,0.01226
3934.61645,0.01220
3933.65209,0.01210
3932.68772,0.01205
3931.72335,0.01214
3930.75899,0.01240
3929.79462,0.01268
3928.83025,0.01276
3927.86589,0.01260
3926.90152,0.01233
3925.93715,0.01207
3924.97279,0.01191
3924.00842,0.01188
3923.04405,0.01192
3922.07969,0.01201
3921.11532,0.01211
3920.15095,0.01212
3919.18659,0.01206
3918.22222,0.01203
3917.25785,0.01207
3916.29349,0.01215
3915.32912,0.01222
3914.36475,0.01233
3913.40039,0.01243
3912.43602,0.01246
3911.47165,0.01245
3910.50729,0.01246
3909.54292,0.01250
3908.57855,0.01253
3907.61418,0.01251
3906.64982,0.01244
3905.68545,0.01234
3904.72108,0.01226
3903.75672,0.01220
3902.79235,0.01215
3901.82798,0.01212
3900.86362,0.01212
3899.89925,0.01215
3898.93488,0.01223
3897.97052,0.01230
3897.00615,0.01230
3896.04178,0.01225
3895.07742,0.01218
3894.11305,0.01210
3893.14868,0.01207
3892.18432,0.01213
3891.21995,0.01221
3890.25558,0.01218
3889.29122,0.01215
3888.32685,0.01223
3887.36248,0.01243
3886.39812,0.01261
3885.43375,0.01267
3884.46938,0.01261
3883.50502,0.01242
3882.54065,0.01218
3881.57628,0.01202
3880.61191,0.01204
3879.64755,0.01223
3878.68318,0.01246
3877.71881,0.01258
3876.75445,0.01257
3875.79008,0.01250
3874.82571,0.01253
3873.86135,0.01271
3872.89698,0.01288
3871.93261,0.01287
3870.96825,0.01268
3870.00388,0.01247
3869.03951,0.01242
3868.07515,0.01254
3867.11078,0.01267
3866.14641,0.01265
3865.18205,0.01248
3864.21768,0.01229
3863.25331,0.01219
3862.28895,0.01221
3861.32458,0.01229
3860.36021,0.01246
3859.39585,0.01276
3858.43148,0.01313
3857.46711,0.01337
3856.50275,0.01331
3855.53838,0.01297
3854.57401,0.01252
3853.60965,0.01223
3852.64528,0.01229
3851.68091,0.01261
3850.71654,0.01296
3849.75218,0.01317
3848.78781,0.01316
3847.82344,0.01297
3846.85908,0.01277
3845.89471,0.01270
3844.93034,0.01276
3843.96598,0.01279
3843.00161,0.01275
3842.03724,0.01270
3841.07288,0.01269
3840.10851,0.01268
3839.14414,0.01268
3838.17978,0.01278
3837.21541,0.01305
3836.25104,0.01333
3835.28668,0.01346
3834.32231,0.01344
3833.35794,0.01343
3832.39358,0.01354
3831.42921,0.01367
3830.46484,0.01371
3829.50048,0.01360
3828.53611,0.01342
3827.57174,0.01331
3826.60738,0.01336
3825.64301,0.01353
3824.67864,0.01372
3823.71428,0.01383
3822.74991,0.01381
3821.78554,0.01370
3820.82117,0.01362
3819.85681,0.01363
3818.89244,0.01375
3817.92807,0.01386
3816.96371,0.01386
3815.99934,0.01377
3815.03497,0.01371
3814.07061,0.01376
3813.10624,0.01387
3812.14187,0.01396
3811.17751,0.01399
3810.21314,0.01402
3809.24877,0.01403
3808.28441,0.01405
3807.32004,0.01416
3806.35567,0.01431
3805.39131,0.01437
3804.42694,0.01427
3803.46257,0.01411
3802.49821,0.01404
3801.53384,0.01413
3800.56947,0.01435
3799.60511,0.01456
3798.64074,0.01464
3797.67637,0.01458
3796.71201,0.01448
3795.74764,0.01447
3794.78327,0.01457
3793.81890,0.01474
3792.85454,0.01495
3791.89017,0.01512
3790.92580,0.01519
3789.96144,0.01521
3788.99707,0.01525
3788.03270,0.01532
3787.06834,0.01534
3786.10397,0.01530
3785.13960,0.01523
3784.17524,0.01514
3783.21087,0.01507
3782.24650,0.01506
3781.28214,0.01515
3780.31777,0.01533
3779.35340,0.01551
3778.38904,0.01559
3777.42467,0.01560
3776.46030,0.01565
3775.49594,0.01575
3774.53157,0.01584
3773.56720,0.01588
3772.60284,0.01587
3771.63847,0.01586
3770.67410,0.01588
3769.70974,0.01595
3768.74537,0.01608
3767.78100,0.01626
3766.81664,0.01645
3765.85227,0.01663
3764.88790,0.01678
3763.92353,0.01687
3762.95917,0.01687
3761.99480,0.01679
3761.03043,0.01673
3760.06607,0.01674
3759.10170,0.01681
3758.13733,0.01688
3757.17297,0.01692
3756.20860,0.01703
