Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-30.01600;10.99417;-0.24911;3.37479
-29.76600;10.94339;-0.24889;3.37531
-29.51600;10.89341;-0.24915;3.37584
-29.26600;10.84343;-0.24885;3.37636
-29.01600;10.79343;-0.24870;3.37688
-28.76600;10.74344;-0.24901;3.37740
-28.51600;10.69345;-0.24923;3.37792
-28.26600;10.64345;-0.24876;3.37843
-28.01600;10.59345;-0.24891;3.37894
-27.76600;10.54346;-0.24891;3.37946
-27.51600;10.49346;-0.24885;3.37997
-27.26600;10.44348;-0.24903;3.38047
-27.01600;10.39350;-0.24927;3.38098
-26.76600;10.34353;-0.24940;3.38149
-26.51600;10.29356;-0.24918;3.38199
-26.26600;10.24360;-0.24953;3.38249
-26.01600;10.19364;-0.24980;3.38299
-25.76600;10.14368;-0.24951;3.38348
-25.51600;10.09372;-0.24987;3.38398
-25.26600;10.04376;-0.25034;3.38447
-25.01600; 9.99380;-0.25045;3.38497
-24.76600; 9.94384;-0.25039;3.38546
-24.51600; 9.89388;-0.25080;3.38594
-24.26600; 9.84392;-0.25132;3.38643
-24.01600; 9.79396;-0.25117;3.38691
-23.76600; 9.74400;-0.25167;3.38740
-23.51600; 9.69405;-0.25172;3.38788
-23.26600; 9.64409;-0.25196;3.38836
-23.01600; 9.59414;-0.25213;3.38883
-22.76600; 9.54419;-0.25256;3.38931
-22.51600; 9.49425;-0.25301;3.38978
-22.26600; 9.44431;-0.25304;3.39026
-22.01600; 9.39437;-0.25368;3.39073
-21.76600; 9.34442;-0.25385;3.39119
-21.51600; 9.29448;-0.25406;3.39166
-21.26600; 9.24454;-0.25383;3.39212
-21.01600; 9.19460;-0.25426;3.39259
-20.76600; 9.14466;-0.25475;3.39305
-20.51600; 9.09470;-0.25495;3.39351
-20.26600; 9.04474;-0.25523;3.39397
-20.01600; 8.99477;-0.25533;3.39442
-19.76600; 8.94480;-0.25561;3.39487
-19.51600; 8.89482;-0.25596;3.39533
-19.26600; 8.84483;-0.25643;3.39578
-19.01600; 8.79483;-0.25643;3.39622
-18.76600; 8.74483;-0.25679;3.39667
-18.51600; 8.69483;-0.25709;3.39712
-18.26600; 8.64484;-0.25741;3.39756
-18.01600; 8.59483;-0.25757;3.39800
-17.76600; 8.54483;-0.25787;3.39844
-17.51600; 8.49484;-0.25828;3.39888
-17.26600; 8.44484;-0.25854;3.39931
-17.01600; 8.39485;-0.25892;3.39975
-16.76600; 8.34487;-0.25876;3.40018
-16.51600; 8.29489;-0.25912;3.40061
-16.26600; 8.24491;-0.25954;3.40104
-16.01600; 8.19493;-0.26001;3.40146
-15.76600; 8.14496;-0.26033;3.40189
-15.51600; 8.09498;-0.26043;3.40231
-15.26600; 8.04501;-0.26113;3.40273
-15.01600; 7.99504;-0.26123;3.40315
-14.76600; 7.94507;-0.26152;3.40357
-14.51600; 7.89512;-0.26190;3.40399
-14.26600; 7.84518;-0.26205;3.40440
-14.01600; 7.79524;-0.26253;3.40481
-13.76600; 7.74531;-0.26274;3.40522
-13.51600; 7.69539;-0.26327;3.40563
-13.26600; 7.64547;-0.26312;3.40604
-13.01600; 7.59555;-0.26286;3.40644
-12.76600; 7.54561;-0.26313;3.40685
-12.51600; 7.49566;-0.26276;3.40725
-12.26600; 7.44570;-0.26272;3.40765
-12.01600; 7.39573;-0.26229;3.40804
-11.76600; 7.34573;-0.26194;3.40844
-11.51600; 7.29573;-0.26165;3.40883
-11.26600; 7.24571;-0.26094;3.40923
-11.01600; 7.19570;-0.26005;3.40962
-10.76600; 7.14570;-0.25921;3.41001
-10.51600; 7.09570;-0.25879;3.41039
-10.26600; 7.04571;-0.25731;3.41078
-10.01600; 6.99572;-0.25585;3.41116
 -9.76600; 6.94575;-0.25516;3.41154
 -9.51600; 6.89578;-0.25369;3.41192
 -9.26600; 6.84582;-0.25276;3.41230
 -9.01600; 6.79587;-0.25113;3.41268
 -8.76600; 6.74593;-0.25051;3.41305
 -8.51600; 6.69600;-0.24919;3.41342
 -8.26600; 6.64607;-0.24849;3.41380
 -8.01600; 6.59616;-0.24749;3.41416
 -7.76600; 6.54626;-0.24741;3.41453
 -7.51600; 6.49637;-0.24683;3.41490
 -7.26600; 6.44647;-0.24640;3.41526
 -7.01600; 6.39657;-0.24617;3.41562
 -6.76600; 6.34667;-0.24636;3.41598
 -6.51600; 6.29675;     -0.24669;3.41634
 -6.26600; 6.24681;     -0.24710;3.41670
 -6.01600; 6.19685;     -0.24747;3.41705
 -5.76600; 6.14688;     -0.24819;3.41741
 -5.51600; 6.09689;     -0.24857;3.41776
 -5.26600; 6.04689;     -0.24935;3.41811
 -5.01600; 5.99689;     -0.24978;3.41845
 -4.76600; 5.94689;     -0.25042;3.41880
 -4.51600; 5.89691;     -0.25109;3.41914
 -4.26600; 5.84694;     -0.25132;3.41949
 -4.01600; 5.79698;     -0.25172;3.41983
 -3.76600; 5.74704;     -0.25177;3.42017
 -3.51600; 5.69712;     -0.25217;3.42050
 -3.26600; 5.64720;     -0.25239;3.42084
 -3.01600; 5.59730;     -0.25239;3.42117
 -2.76600; 5.54740;     -0.25247;3.42150
 -2.51600; 5.49750;     -0.25273;3.42183
 -2.26600; 5.44760;     -0.25275;3.42216
 -2.01600; 5.39770;     -0.25310;3.42249
 -1.76600; 5.34779;     -0.25276;3.42281
 -1.51600; 5.29788;     -0.25298;3.42313
 -1.26600; 5.24797;     -0.25281;3.42345
 -1.01600; 5.19806;     -0.25242;3.42377
 -0.76600; 5.14814;     -0.25216;3.42409
 -0.51600; 5.09821;     -0.25163;3.42441
 -0.26600; 5.04828;     -0.25062;3.42472
 -0.01600; 4.99834;     -0.25029;3.42503
  0.23400; 4.94840;     -0.24911;3.42534
  0.48400; 4.89846;     -0.24798;3.42565
  0.73400; 4.84852;     -0.24668;3.42596
  0.98400; 4.79857;     -0.24574;3.42626
  1.23400; 4.74862;     -0.24432;3.42656
  1.48400; 4.69868;     -0.24342;3.42687
  1.73400; 4.64873;     -0.24217;3.42716
  1.98400; 4.59879;     -0.24118;3.42746
  2.23400; 4.54884;     -0.24018;3.42776
  2.48400; 4.49890;     -0.23948;3.42805
  2.73400; 4.44896;     -0.23878;3.42835
  2.98400; 4.39902;     -0.23775;3.42864
  3.23400; 4.34907;     -0.23723;3.42892
  3.48400; 4.29912;     -0.23663;3.42921
  3.73400; 4.24917;     -0.23631;3.42950
  3.98400; 4.19922;     -0.23604;3.42978
  4.23400; 4.14926;     -0.23497;3.43006
  4.48400; 4.09931;     -0.23457;3.43034
  4.73400; 4.04935;     -0.23419;3.43062
  4.98400; 3.99938;     -0.23354;3.43090
  5.23400; 3.94941;     -0.23324;3.43117
  5.48400; 3.89943;     -0.23231;3.43145
  5.73400; 3.84945;     -0.23231;3.43172
  5.98400; 3.79947;     -0.23187;3.43199
  6.23400; 3.74948;     -0.23094;3.43225
  6.48400; 3.69948;     -0.23072;3.43252
  6.73400; 3.64948;     -0.23026;3.43278
  6.98400; 3.59946;     -0.22991;3.43305
  7.23400; 3.54945;     -0.22937;3.43331
  7.48400; 3.49942;     -0.22874;3.43357
  7.73400; 3.44939;     -0.22820;3.43382
  7.98400; 3.39935;     -0.22777;3.43408
  8.23400; 3.34931;     -0.22725;3.43433
  8.48400; 3.29925;     -0.22684;3.43458
  8.73400; 3.24918;     -0.22600;3.43483
  8.98400; 3.19910;     -0.22544;3.43508
  9.23400; 3.14901;     -0.22516;3.43533
  9.48400; 3.09890;     -0.22410;3.43557
  9.73400; 3.04879;     -0.22382;3.43582
  9.98400; 2.99868;     -0.22360;3.43606
 10.23400; 2.94857;     -0.22253;3.43630
 10.48400; 2.89847;     -0.22205;3.43654
 10.73400; 2.84838;     -0.22148;3.43677
 10.98400; 2.79831;     -0.22099;3.43701
 11.23400; 2.74826;     -0.22077;3.43724
 11.48400; 2.69824;     -0.22063;3.43747
 11.73400; 2.64826;     -0.22037;3.43770
 11.98400; 2.59832;     -0.21997;3.43793
 12.23400; 2.54844;     -0.21967;3.43815
 12.48400; 2.49861;     -0.21925;3.43837
 12.73400; 2.44885;     -0.21895;3.43860
 12.98400; 2.39917;     -0.21884;3.43882
 13.23400; 2.34957;     -0.21803;3.43904
 13.48400; 2.30004;     -0.21816;3.43925
 13.73400; 2.25058;     -0.21785;3.43947
 13.98400; 2.20120;     -0.21755;3.43968
 14.23400; 2.15189;     -0.21716;3.43989
 14.48400; 2.10266;     -0.21698;3.44010
