Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-30.01609;15.99667;     -0.13123;3.37479
-29.51609;16.13721;     -0.10502;3.37584
-29.01609;16.20781;-4.598071e-02;3.37688
-28.51609;16.26529; 1.516391e-02;3.37792
-28.01609;16.31705; 7.272709e-02;3.37894
-27.51609;16.36610;      0.12542;3.37997
-27.01609;16.41368;      0.17365;3.38098
-26.51609;16.46036;      0.21727;3.38199
-26.01609;16.50649;      0.25669;3.38299
-25.51609;16.55225;      0.29214;3.38398
-25.01609;16.59779;      0.32408;3.38497
-24.51609;16.64318;      0.35273;3.38594
-24.01609;16.68850;      0.37815;3.38691
-23.51609;16.73381;      0.40101;3.38788
-23.01609;16.77914;      0.42154;3.38883
-22.51609;16.82455;      0.43972;3.38978
-22.01609;16.87006;      0.45545;3.39073
-21.51609;16.91570;      0.46982;3.39166
-21.01609;16.96150;      0.48254;3.39259
-20.51609;17.00746;      0.49328;3.39351
-20.01609;17.05361;      0.50263;3.39442
-19.51609;17.09995;      0.51102;3.39533
-19.01609;17.14649;      0.51806;3.39622
-18.51609;17.19322;      0.52390;3.39712
-18.01609;17.24016;      0.52907;3.39800
-17.51609;17.28731;      0.53314;3.39888
-17.01609;17.33465;      0.53651;3.39975
-16.51609;17.38220;      0.53929;3.40061
-16.01609;17.42993;      0.54157;3.40146
-15.51609;17.47785;      0.54337;3.40231
-15.01609;17.52593;      0.54461;3.40315
-14.51609;17.57418;      0.54570;3.40399
-14.01609;17.62258;      0.54675;3.40481
-13.51609;17.67113;      0.54760;3.40563
-13.01609;17.71982;      0.54824;3.40644
-12.51609;17.76863;      0.54881;3.40725
-12.01609;17.81756;      0.54971;3.40804
-11.51609;17.86657;      0.55021;3.40883
-11.01609;17.91568;      0.55122;3.40962
-10.51609;17.96486;      0.55234;3.41039
-10.01609;18.01412;      0.55381;3.41116
 -9.51609;18.06346;      0.55546;3.41192
 -9.01609;18.11285;      0.55771;3.41268
 -8.51609;18.16231;      0.56029;3.41342
 -8.01609;18.21181;      0.56357;3.41416
 -7.51609;18.26136;      0.56780;3.41490
 -7.01609;18.31095;      0.57285;3.41562
 -6.51609;18.36058;      0.57895;3.41634
 -6.01609;18.41024;      0.58678;3.41705
 -5.51609;18.45992;      0.59571;3.41776
 -5.01609;18.50961;      0.60626;3.41845
 -4.51609;18.55931;      0.61813;3.41914
 -4.01609;18.60901;      0.63175;3.41983
 -3.51609;18.65872;      0.64603;3.42050
 -3.01609;18.70845;      0.66132;3.42117
 -2.51609;18.75817;      0.67781;3.42183
 -2.01609;18.80791;      0.69532;3.42249
 -1.51609;18.85764;      0.71486;3.42313
 -1.01609;18.90737;      0.73626;3.42377
 -0.51609;18.95710;      0.76125;3.42441
 -0.01609;19.00682;      0.79055;3.42503
  0.48391;19.05655;      0.82543;3.42565
  0.98391;19.10627;      0.86728;3.42626
  1.48391;19.15598;      0.91069;3.42687
  1.98391;19.20568;      0.95642;3.42746
  2.48391;19.25539;      1.00673;3.42805
  2.98391;19.30510;      1.05672;3.42864
  3.48391;19.35482;      1.10506;3.42921
  3.98391;19.40455;      1.15297;3.42978
  4.48391;19.45428;      1.19595;3.43034
  4.98391;19.50402;      1.23122;3.43090
  5.48391;19.55376;      1.25884;3.43144
  5.98391;19.60349;      1.28405;3.43199
  6.48391;19.65322;      1.30799;3.43252
  6.98391;19.70295;      1.32953;3.43305
  7.48391;19.75270;      1.34714;3.43357
  7.98391;19.80247;      1.35757;3.43408
  8.48391;19.85226;      1.35910;3.43458
  8.98391;19.90207;      1.35123;3.43508
  9.48391;19.95187;      1.33197;3.43557
  9.98391;20.00166;      1.29955;3.43606
 10.48391;20.05144;      1.25458;3.43653
 10.98391;20.10119;      1.20169;3.43701
 11.48391;20.15094;      1.14754;3.43747
 11.98391;20.20069;      1.09558;3.43793
 12.48391;20.25043;      1.04786;3.43837
 12.98391;20.30017;      1.00440;3.43882
 13.48391;20.34990;      0.96537;3.43925
 13.98391;20.39964;      0.93006;3.43968
 14.48391;20.44938;      0.89822;3.44010
 14.98391;20.49912;      0.86969;3.44052
 15.48391;20.54885;      0.84393;3.44092
 15.98391;20.59858;      0.82092;3.44133
 16.48391;20.64829;      0.80099;3.44172
 16.98391;20.69799;      0.78332;3.44211
 17.48391;20.74769;      0.76754;3.44249
 17.98391;20.79740;      0.75382;3.44286
 18.48391;20.84712;      0.74161;3.44322
 18.98391;20.89685;      0.73048;3.44358
 19.48391;20.94657;      0.72080;3.44394
 19.98391;20.99630;      0.71176;3.44428
 20.48391;21.04603;      0.70366;3.44462
 20.98391;21.09577;      0.69630;3.44495
 21.48391;21.14551;      0.68938;3.44528
 21.98391;21.19526;      0.68297;3.44559
 22.48391;21.24500;      0.67729;3.44590
 22.98391;21.29474;      0.67178;3.44621
 23.48391;21.34447;      0.66700;3.44651
 23.98391;21.39419;      0.66256;3.44680
 24.48391;21.44390;      0.65879;3.44708
 24.98391;21.49361;      0.65528;3.44736
 25.48391;21.54335;      0.65246;3.44763
 25.98391;21.59312;      0.64989;3.44789
 26.48391;21.64291;      0.64797;3.44815
 26.98391;21.69273;      0.64635;3.44840
 27.48391;21.74255;      0.64573;3.44864
 27.98391;21.79240;      0.64663;3.44887
 28.48391;21.84227;      0.64971;3.44910
 28.98391;21.89217;      0.65474;3.44933
 29.48391;21.94209;      0.66178;3.44954
 29.98391;21.99204;      0.67089;3.44975
 30.48391;22.04200;      0.68174;3.44995
 30.98391;22.09197;      0.69329;3.45015
 31.48391;22.14195;      0.70475;3.45034
 31.98391;22.19192;      0.71619;3.45052
 32.48391;22.24189;      0.72736;3.45069
 32.98391;22.29185;      0.73853;3.45086
 33.48391;22.34180;      0.75241;3.45102
 33.98391;22.39177;      0.77649;3.45118
 34.48391;22.44174;      0.78686;3.45133
 34.98391;22.49171;      0.79581;3.45147
 35.48391;22.54170;      0.80391;3.45160
 35.98391;22.59168;      0.81204;3.45173
 36.48391;22.64167;      0.82021;3.45185
 36.98391;22.69166;      0.83184;3.45197
 37.48391;22.74166;      0.83711;3.45208
 37.98391;22.79165;      0.84529;3.45218
 38.48391;22.84166;      0.84979;3.45227
 38.98391;22.89167;      0.85357;3.45236
 39.48391;22.94169;      0.85853;3.45244
 39.98391;22.99171;      0.86516;3.45252
 40.48391;23.04173;      0.87380;3.45259
 40.98391;23.09174;      0.88438;3.45265
 41.48391;23.14176;      0.90346;3.45271
 41.98391;23.19177;      0.93055;3.45276
 42.48391;23.24179;      0.94484;3.45280
 42.98391;23.29182;      0.93388;3.45283
 43.48391;23.34186;      0.90555;3.45286
 43.98391;23.39190;      0.87252;3.45289
 44.48391;23.44195;      0.84188;3.45290
 44.98391;23.49201;      0.81716;3.45291
 45.48391;23.54206;      0.80059;3.45292
 45.98391;23.59211;      0.78929;3.45291
 46.48391;23.64215;      0.77581;3.45290
 46.98391;23.69220;      0.76345;3.45289
 47.48391;23.74226;      0.75236;3.45287
 47.98391;23.79232;      0.74228;3.45284
 48.48391;23.84238;      0.73315;3.45280
 48.98391;23.89245;      0.72567;3.45276
 49.48391;23.94252;      0.71991;3.45271
 49.98391;23.99260;      0.71641;3.45266
 50.48391;24.04267;      0.71510;3.45260
 50.98391;24.09275;      0.71447;3.45253
 51.48391;24.14283;      0.71458;3.45246
 51.98391;24.19291;      0.71522;3.45237
 52.48391;24.24301;      0.71625;3.45229
 52.98391;24.29311;      0.71761;3.45220
 53.48391;24.34321;      0.71898;3.45210
 53.98391;24.39332;      0.71994;3.45199
 54.48391;24.44341;      0.72154;3.45188
 54.98391;24.49351;      0.72353;3.45176
 55.48391;24.54359;      0.72568;3.45164
 55.98391;24.59367;      0.72806;3.45151
 56.48391;24.64373;      0.73098;3.45137
 56.98391;24.69379;      0.73432;3.45123
 57.48391;24.74384;      0.73751;3.45108
 57.98391;24.79387;      0.74036;3.45092
 58.48391;24.84389;      0.74334;3.45076
 58.98391;24.89389;      0.74652;3.45059
 59.48391;24.94387;      0.74989;3.45041
 59.98391;24.99384;      0.75302;3.45023
 60.48391;25.04379;      0.75609;3.45005
 60.98391;25.09372;      0.75911;3.44985
 61.48391;25.14363;      0.76240;3.44965
 61.98391;25.19351;      0.76760;3.44945
 62.48391;25.24337;      0.77413;3.44924
 62.98391;25.29319;      0.77498;3.44902
 63.48391;25.34299;      0.77546;3.44880
 63.98391;25.39279;      0.77556;3.44857
 64.48391;25.44259;      0.77574;3.44833
 64.98391;25.49241;      0.77460;3.44809
 65.48391;25.54226;      0.77322;3.44784
 65.98391;25.59214;      0.77133;3.44758
 66.48391;25.64205;      0.76929;3.44732
 66.98391;25.69196;      0.76731;3.44706
 67.48391;25.74186;      0.76616;3.44678
 67.98391;25.79175;      0.76566;3.44651
 68.48391;25.84164;      0.76557;3.44622
 68.98391;25.89153;      0.76709;3.44593
 69.48391;25.94144;      0.76927;3.44563
 69.98391;25.99137;      0.77165;3.44533
 70.48391;26.04133;      0.77554;3.44502
 70.98391;26.09130;      0.77923;3.44471
 71.48391;26.14128;      0.78338;3.44439
 71.98391;26.19127;      0.78791;3.44406
 72.48391;26.24128;      0.79302;3.44373
 72.98391;26.29129;      0.79866;3.44339
 73.48391;26.34129;      0.80613;3.44304
 73.98391;26.39129;      0.81523;3.44269
 74.48391;26.44128;      0.82425;3.44234
 74.98391;26.49127;      0.83439;3.44198
 75.48391;26.54126;      0.84453;3.44161
 75.98391;26.59125;      0.85607;3.44123
